Tag,Count,Key,Value
"('highway', 'service')",12556,highway,service
"('service', 'alley')",11097,service,alley
"('highway', 'residential')",7917,highway,residential
"('highway', 'footway')",6913,highway,footway
"('surface', 'asphalt')",5835,surface,asphalt
"('footway', 'sidewalk')",4337,footway,sidewalk
"('footway', 'crossing')",2241,footway,crossing
"('oneway', 'yes')",2158,oneway,yes
"('lanes', '2')",2123,lanes,2
"('motorcycle', 'yes')",851,motorcycle,yes
"('highway', 'tertiary')",825,highway,tertiary
"('highway', 'primary')",782,highway,primary
"('crossing', 'uncontrolled')",671,crossing,uncontrolled
"('crossing', 'traffic_signals')",628,crossing,traffic_signals
"('crossing', 'marked')",621,crossing,marked
"('name', 'Phố Minh Khai')",543,name,Phố Minh Khai
"('motorcar', 'no')",541,motorcar,no
"('crossing:markings', 'zebra')",535,crossing:markings,zebra
"('surface', 'concrete')",491,surface,concrete
"('lit', 'yes')",467,lit,yes
"('lanes', '4')",393,lanes,4
"('moped', 'yes')",381,moped,yes
"('highway', 'secondary')",353,highway,secondary
"('name', 'Đường Số 1 Times City')",353,name,Đường Số 1 Times City
"('motor_vehicle', 'no')",352,motor_vehicle,no
"('oneway:motorcycle', 'no')",347,oneway:motorcycle,no
"('oneway:moped', 'no')",342,oneway:moped,no
"('oneway:bicycle', 'no')",342,oneway:bicycle,no
"('oneway:mofa', 'no')",321,oneway:mofa,no
"('name', 'Đường Số 4')",288,name,Đường Số 4
"('surface', 'paving_stones')",257,surface,paving_stones
"('lanes', '1')",255,lanes,1
"('oneway', 'no')",253,oneway,no
"('name', 'Đường Số 5 Times City')",247,name,Đường Số 5 Times City
"('crossing:markings', 'yes')",237,crossing:markings,yes
"('motor_vehicle:conditional', 'no @ (Fr 19:00-23:59; Sa-Su 00:00-23:59)')",230,motor_vehicle:conditional,no @ (Fr 19:00-23:59; Sa-Su 00:00-23:59)
"('surface', 'concrete:plates')",209,surface,concrete:plates
"('crossing', 'unmarked')",208,crossing,unmarked
"('vehicle:conditional', 'no @ (Jan 1 00:00-23:59)')",199,vehicle:conditional,no @ (Jan 1 00:00-23:59)
"('highway', 'primary_link')",196,highway,primary_link
"('layer', '1')",190,layer,1
"('lanes', '3')",187,lanes,3
