lat,lon,nodes,distance
1.27051,103.82506,"[7007271903, 7007271902]",0.953253
1.27063,103.82494,"[7007271900, 7007271899]",0.866911
1.27072,103.82487,"[7007271899, 7007271898]",3.483939
1.27085,103.82482,"[7007271898, 7007271897]",5.073473
1.27096,103.82481,"[7007271897, 7007271896]",0.497072
1.27107,103.82473,"[7007271895, 7007271894]",2.002354
1.27134,103.82454,"[7007271894, 7007271893]",3.982979
1.27144,103.82444,"[7007271891, 7007271890]",5.143438
1.2715,103.82436,"[7007271890, 7007271889]",1.216246
1.2715,103.8243,"[7007271889, 7007271888]",3.329162
1.27148,103.82422,"[26782356, 4712013103]",0.15688
1.27135,103.82409,"[7516423391, 4712013103]",2.359452
1.27106,103.82385,"[1867272172, 26782152]",3.241727
1.27098,103.82384,"[10677661622, 1867272172]",3.013046
1.27091,103.82386,"[1867272167, 1867272165]",1.33552
1.27085,103.8239,"[1867272167, 1867272165]",0.745607
1.27051,103.82429,"[7007238677, 7007238678]",1.421631
1.27033,103.82437,"[1867272159, 4600776961]",1.448367
1.26997,103.82454,"[7007238672, 7007238673]",1.224227
1.2699,103.82456,"[7007238671, 7007238672]",0.779053
1.26981,103.82455,"[7007238670, 7007238671]",0.111293
1.26975,103.82452,"[7007238669, 5152586355]",1.791678
1.26964,103.8244,"[4600776967, 26782213]",1.937514
1.26957,103.82427,"[4600776967, 26782213]",1.3875
1.26946,103.82414,"[1867272151, 4600776969]",0.598796
1.26938,103.8241,"[4600776969, 4600776970]",2.458419
1.26928,103.82412,"[1867272150, 26782207]",1.02576
1.26928,103.82412,"[1867272150, 26782207]",1.02576
1.26902,103.82424,"[1867272146, 1867272148]",0.917397
1.26887,103.82428,"[26782086, 1867272146]",2.339774
1.26857,103.8243,"[7007238659, 7007238658]",2.339774
1.26825,103.82431,"[7007238658, 7007238657]",2.569281
1.26798,103.82436,"[7007238658, 7007238657]",0.897186
1.26792,103.82436,"[7007238657, 3149218549]",0.80983
1.2679,103.82436,"[7007238657, 3149218549]",1.376096
1.26788,103.82429,"[1948683079, 1867272142]",1.695784
1.2678,103.82424,"[26782226, 4381835613]",0.627521
1.26777,103.82419,"[4381835613, 5150001280]",1.261241
1.26776,103.824,"[1867272136, 5150001281]",3.003943
1.26776,103.82385,"[5150001281, 26782289]",1.772582
1.2677,103.82349,"[26782289, 682716375]",0.331703
1.26771,103.82332,"[682716375, 4381835611]",2.58173
1.26775,103.82318,"[4381835611, 4381835612]",2.336602
1.26789,103.82303,"[1867272140, 26782190]",2.536481
1.26801,103.82297,"[26782190, 26782142]",3.386919
1.26839,103.82284,"[26782142, 26782150]",6.869675
1.26855,103.82272,"[26782142, 26782150]",5.760514
1.26916,103.82189,"[26782299, 1867272149]",1.263791
1.26925,103.82178,"[26782013, 26782198]",1.976601
1.26929,103.82176,"[26782013, 26782198]",1.110327
1.26969,103.82175,"[5832490484, 5832491985]",3.118174
1.26992,103.82174,"[682715688, 682715687]",1.943487
1.27001,103.82169,"[682715688, 682715687]",1.943487
1.27005,103.82167,"[682715688, 682715687]",1.791678
1.27006,103.82166,"[682715688, 682715687]",2.137722
1.27044,103.8214,"[1101782305, 682715675]",3.060685
1.27081,103.82106,"[1101782305, 682715675]",2.829225
1.27114,103.82077,"[682715675, 682715672]",0.709796
1.27119,103.82065,"[10281619357, 5148627424]",2.489362
1.2712,103.82053,"[682715670, 3686697575]",2.883367
1.27118,103.82034,"[682715670, 3686697575]",3.765889
1.27119,103.82005,"[4311479725, 26782029]",2.87188
1.27123,103.81981,"[4311479725, 26782029]",0.349876
1.27135,103.81953,"[10867847856, 26782196]",0.495125
1.27147,103.81935,"[26782196, 5278041900]",0.554148
1.27158,103.81926,"[26782228, 1867272199]",2.666966
1.27178,103.81909,"[1101782083, 1101782234]",3.487005
1.27194,103.81903,"[10554365804, 1101782151]",6.127277
1.2721,103.819,"[3720877244, 3720877237]",5.804806
1.27232,103.81892,"[3720823327, 1101782304]",1.353704
1.27239,103.81906,"[3720823330, 3720823329]",0.248536
1.27242,103.81908,"[3720823330, 3720823329]",0.400471
1.27251,103.8191,"[3720823331, 3720823330]",1.726992
1.27275,103.8191,"[6459477137, 3720823333]",1.244038
1.27291,103.81905,"[3720823335, 3720823334]",1.445422
1.27308,103.81897,"[3720823338, 3720823336]",0.647829
1.27317,103.81891,"[3720823338, 3720823336]",1.640825
1.27337,103.81883,"[3720823340, 3720823339]",0.248536
1.27359,103.81878,"[3720823340, 3720823339]",0.351712
1.27372,103.81873,"[3720823342, 3720823340]",0.458699
1.27379,103.81865,"[5161038335, 5161038334]",2.733209
1.27385,103.81841,"[682557217, 3149214901]",1.368178
1.27388,103.81832,"[596067198, 682557217]",1.685838
1.27394,103.81822,"[596067198, 682557217]",3.371676
1.27409,103.81811,"[3720823347, 3720823346]",0.598796
1.2742,103.81804,"[3720823348, 3720823347]",2.236822
1.27425,103.818,"[3720823349, 3720823348]",2.827176
1.27428,103.81793,"[682557210, 596067196]",3.082674
1.27431,103.81781,"[3720823352, 3720823351]",1.441684
1.27432,103.81758,"[682557210, 596067196]",1.892786
1.27436,103.81745,"[1867272237, 682557210]",0.99025
1.27445,103.81731,"[596067194, 1867272237]",0.627521
1.27466,103.81718,"[3720823357, 3720823356]",1.882564
1.27504,103.81693,"[3720823358, 3720823360]",2.039444
1.27511,103.81683,"[3720823360, 3720823362]",0.99025
1.27516,103.81667,"[3720823362, 3720823364]",2.449133
1.27522,103.8164,"[10867845158, 10867845159]",0.111293
1.27527,103.81587,"[596067181, 596067183]",4.207468
