lat,lon,nodes,distance
1.26671,103.82118,"[1101782110, 682716239]",0.800941
1.26735,103.82124,"[512093957, 682716236]",1.683982
1.26773,103.82129,"[512093955, 682715545]",1.291676
1.26787,103.82132,"[1101782211, 512093949]",4.479056
1.26795,103.82136,"[1101782211, 512093949]",2.401655
1.26802,103.82136,"[682715540, 512093949]",1.504741
1.26808,103.82135,"[5148627435, 1101782063]",0.710816
1.26814,103.82128,"[1101782281, 5148627435]",1.198394
1.26818,103.8212,"[5148627438, 1101782200]",2.147438
1.2682,103.82117,"[5148627440, 5148627439]",1.96206
1.26823,103.82117,"[1101782044, 5148627441]",0.351712
1.2683,103.82123,"[1101782134, 1101782260]",2.465602
1.26843,103.82127,"[11395298623, 1101782029]",2.912576
1.26845,103.82124,"[1101782246, 11395298623]",0.497072
1.26847,103.82121,"[5148629451, 1101782246]",1.693459
1.26853,103.82119,"[11395318048, 5148629451]",1.463615
1.2686,103.82118,"[682715743, 512093946]",1.824237
1.26866,103.82121,"[5148627434, 1101782096]",0.222587
1.26876,103.82121,"[5148629458, 5148627434]",0.66776
1.26884,103.8212,"[1101781984, 5148629443]",0.497072
1.2689,103.82116,"[5148629444, 5148629445]",0.567345
1.26892,103.82114,"[5148629445, 512093940]",1.340089
1.26895,103.82115,"[5148629446, 512093940]",1.023246
1.26898,103.82119,"[5148627433, 5148629449]",0.0
1.26903,103.82125,"[5148629442, 5148627433]",0.710816
1.2691,103.82129,"[5148627428, 1101782224]",0.710816
1.26915,103.82136,"[1101782075, 5148627429]",0.442271
1.26916,103.82147,"[1101782296, 1101782075]",1.345355
1.26918,103.82153,"[5148627431, 1101782296]",0.865889
1.26923,103.82155,"[1101782166, 5148627432]",1.268368
1.2696,103.82151,"[5148627427, 512093934]",3.006953
1.26969,103.82153,"[1101782268, 5148627427]",1.942992
1.26975,103.82156,"[512093921, 1101782268]",1.601883
1.26982,103.82159,"[8122529906, 5148627426]",0.111293
1.26993,103.82159,"[8122529907, 1101782087]",3.020693
1.26996,103.82159,"[8122529907, 1101782087]",1.110327
1.27001,103.8216,"[8123610414, 1101782087]",2.813693
1.26993,103.82165,"[8122529907, 7007238629]",0.0
1.26979,103.82168,"[5148627214, 26782040]",0.66776
1.26943,103.82168,"[26782198, 5148627213]",1.445422
1.26928,103.82169,"[7007238634, 7007238635]",1.110327
1.26921,103.82172,"[7007238635, 7007238636]",3.723799
1.26913,103.8218,"[7007238635, 7007238636]",5.630116
1.2687,103.82238,"[7007238638, 7007238639]",5.810997
1.26846,103.8227,"[26782142, 26782150]",1.601883
1.26836,103.82278,"[26782142, 26782150]",0.555163
1.26816,103.82285,"[7007238644, 7007238645]",2.216197
1.26795,103.82292,"[7007238645, 7007238646]",1.445422
1.26782,103.823,"[7007238646, 7007238647]",2.249192
1.26767,103.82318,"[7007238648, 7007238649]",1.295158
1.26763,103.82335,"[7007238650, 7007238651]",1.547949
1.26762,103.8235,"[7007238651, 7007238652]",2.876916
1.26769,103.8238,"[7007238653, 7007238654]",0.884542
1.26769,103.82416,"[7007238656, 3686388553]",2.836374
1.26772,103.82424,"[7007238656, 3686388553]",2.979831
1.26778,103.82434,"[3686388553, 3149218549]",2.887978
1.26769,103.82427,"[3149218550, 3149218551]",1.411923
1.26751,103.82407,"[3149218552, 3149218553]",4.674057
1.26733,103.82394,"[3686388549, 8038957933]",9.526919
1.26728,103.82394,"[3686388549, 8038957933]",6.535592
1.26721,103.82392,"[3686388550, 3149218554]",3.879034
1.26718,103.82396,"[8038957933, 3149218554]",1.355602
1.26707,103.824,"[3686388548, 3149218554]",2.039881
1.26699,103.82402,"[682715609, 3686388548]",2.140431
1.2668,103.82399,"[682715605, 3686388547]",1.048021
1.26675,103.82398,"[682715605, 3686388547]",0.895839
1.26667,103.82391,"[3686388544, 682715605]",0.15688
1.26655,103.82378,"[3686388544, 682715605]",1.255043
1.26646,103.82365,"[682715602, 3686388543]",2.240588
1.26641,103.82348,"[3686388543, 3686388542]",2.25572
1.2664,103.82341,"[3686388543, 3686388542]",2.58173
1.26635,103.82321,"[682715598, 3686388541]",5.45334
1.2663,103.82314,"[8073241927, 8073241926]",1.751955
1.26624,103.82311,"[8073241928, 8073241927]",1.971102
1.26609,103.8231,"[8073241929, 8073241928]",1.118412
1.26593,103.8231,"[7085652308, 4747831793]",0.567345
1.26594,103.82318,"[8073241931, 7085652307]",2.876916
1.26607,103.82317,"[8073241931, 8073241932]",2.536736
1.26608,103.82317,"[8073241931, 8073241932]",2.293494
1.26623,103.82318,"[8073241933, 8073241930]",1.055135
1.2663,103.82329,"[8073241934, 8073241935]",2.978453
1.26634,103.82349,"[8073241934, 8073241935]",4.23969
1.26635,103.82355,"[8073241934, 8073241935]",4.802505
1.26646,103.82379,"[8073241935, 8073241936]",5.103504
1.26662,103.82396,"[3686388544, 682715605]",7.689763
1.26672,103.82404,"[682715605, 3686388547]",8.326372
1.26682,103.82407,"[3686388547, 682715609]",7.375257
1.26699,103.82409,"[682715609, 3686388548]",9.788628
1.2671,103.82407,"[3686388548, 3149218554]",10.492124
1.26717,103.82405,"[3686388549, 8038957933]",10.232813
1.26724,103.82399,"[3686388549, 8038957933]",0.497072
1.26728,103.82394,"[3686388549, 8038957933]",6.535592
1.26734,103.82395,"[3686388549, 8038957933]",9.184795
1.26751,103.82407,"[3149218552, 3149218553]",4.674057
1.26769,103.82427,"[3149218550, 3149218551]",1.411923
1.26778,103.82434,"[3686388553, 3149218549]",2.887978
1.26772,103.82424,"[7007238656, 3686388553]",2.979831
1.26769,103.82416,"[7007238656, 3686388553]",2.836374
1.26768,103.82396,"[7007238654, 7007238655]",0.110568
1.26769,103.8238,"[7007238653, 7007238654]",0.884542
1.26765,103.82365,"[7007238652, 7007238653]",1.563871
1.26762,103.8235,"[7007238651, 7007238652]",2.876916
1.26763,103.82335,"[7007238650, 7007238651]",1.547949
1.26767,103.82318,"[7007238648, 7007238649]",1.295158
1.26782,103.823,"[7007238646, 7007238647]",2.249192
1.26787,103.82296,"[7007238646, 7007238647]",1.601883
1.26799,103.8229,"[7007238645, 7007238646]",1.094937
1.26821,103.82284,"[26782190, 26782142]",1.445422
1.26842,103.82274,"[26782142, 26782150]",0.400471
1.26857,103.82257,"[7007238639, 7007238640]",1.649623
1.26909,103.82186,"[7007238635, 7007238636]",5.231064
1.26921,103.82172,"[7007238635, 7007238636]",3.723799
1.26932,103.82169,"[7007238633, 7007238634]",0.950129
1.26979,103.82168,"[5148627214, 26782040]",0.66776
1.26973,103.82182,"[5152586354, 5152586352]",0.248536
1.26971,103.82186,"[5832491991, 5832491990]",2.359452
