lat,lon,nodes,distance
1.34258,103.83561,"[1713291236, 1713291233]",1.112911
1.34305,103.83564,"[3987278466, 1713291250]",0.786845
1.34346,103.8356,"[563630489, 1628371993]",0.313758
1.34352,103.83557,"[4954224551, 563630491]",0.994128
1.34389,103.83533,"[563630508, 563630510]",0.248532
1.34414,103.83513,"[4954224526, 563630497]",0.555156
1.34436,103.83494,"[563630501, 563630503]",0.400465
1.34444,103.83491,"[563630503, 563630505]",0.45869
1.34459,103.83489,"[5158074555, 563630518]",0.676839
1.34476,103.83494,"[563630522, 563630520]",0.994128
1.34491,103.83503,"[5158074557, 563630522]",0.400465
1.34493,103.83506,"[563630524, 5158074557]",0.247562
1.34503,103.83523,"[563630527, 563630526]",0.645835
1.34515,103.83553,"[563630532, 563630531]",1.19193
1.34527,103.83594,"[563630537, 563630534]",4.481167
1.34546,103.83637,"[4688127132, 563630548]",1.134669
1.34556,103.83653,"[563630550, 5158074584]",8.613063
1.34568,103.83661,"[2689392830, 5158074558]",4.164524
1.34575,103.83664,"[2689392830, 5158074558]",11.148583
1.34578,103.83652,"[3957870805, 563630553]",3.942133
1.34587,103.83643,"[563630638, 5158074585]",1.507296
1.34593,103.83627,"[563630643, 563630638]",0.0
1.34602,103.83598,"[563630648, 563630643]",1.504739
1.34621,103.83564,"[4044315934, 563630608]",2.184415
1.34639,103.83537,"[563630612, 563630617]",0.156879
1.34655,103.83518,"[563630619, 563630622]",1.022215
1.34655,103.83518,"[563630619, 563630622]",1.022215
1.34671,103.83501,"[563630622, 563630626]",1.022215
1.34694,103.83485,"[563630630, 563630632]",0.400465
1.34716,103.83475,"[563630636, 563630649]",0.941273
1.3473,103.83459,"[563630652, 563630554]",1.751945
1.34755,103.83427,"[563630565, 563630568]",2.591278
1.34768,103.83414,"[563630569, 563630571]",0.399462
1.3478,103.83401,"[563630572, 563630574]",0.399462
1.3479,103.83386,"[563630574, 563630575]",0.990246
1.3482,103.8335,"[563630584, 563630586]",5.027875
1.34839,103.83333,"[563630594, 563630597]",1.023235
1.34852,103.83322,"[563630597, 563630653]",0.0
1.34867,103.83312,"[563630653, 563630657]",0.111291
1.34899,103.83294,"[563630662, 563630664]",0.351705
1.34913,103.83284,"[563630668, 563630664]",0.400465
1.34928,103.83272,"[563630670, 563630668]",2.926103
1.34932,103.83264,"[563630671, 563630670]",2.922399
1.34934,103.83252,"[563630680, 563630671]",0.456059
1.34947,103.83216,"[563630680, 563630671]",1.399502
1.34955,103.83202,"[563630683, 563630681]",2.678596
1.34963,103.83192,"[563630684, 563630683]",1.848742
1.34977,103.8318,"[563630470, 563630684]",0.313758
1.35036,103.8314,"[661041698, 563630482]",1.577611
1.35093,103.83096,"[3987211520, 563630486]",0.710798
1.35124,103.83072,"[563630710, 563630488]",0.156877
1.35137,103.8306,"[563630711, 563630710]",0.39946
1.35145,103.83047,"[563630711, 563630710]",0.941263
1.35171,103.83007,"[563630713, 563630712]",0.0
1.35177,103.82993,"[5158074581, 563630714]",5.14342
1.35175,103.82985,"[563630715, 5158074581]",7.16213
1.35173,103.82983,"[5158074580, 563630715]",7.241777
1.35156,103.82978,"[563630475, 5158074579]",5.902454
1.35122,103.8298,"[563630475, 5158074579]",2.33968
1.35105,103.82978,"[563630476, 563630475]",4.341674
1.35079,103.82969,"[5158074567, 563630479]",3.39147
1.35065,103.82954,"[563630471, 5158074566]",2.723166
1.35061,103.82946,"[563630472, 563630471]",0.56393
1.3506,103.82933,"[563630473, 563630472]",0.110568
1.35061,103.82922,"[5158074569, 563630473]",0.221136
1.35065,103.82913,"[5158074568, 563630477]",1.649587
1.35074,103.82906,"[563630478, 5158074568]",2.890745
1.35114,103.82892,"[563630468, 563630464]",1.512847
1.35145,103.82884,"[563630704, 563630701]",2.250358
1.35196,103.82875,"[3205822995, 563630704]",1.920769
1.35212,103.82871,"[563630706, 5158074570]",1.265796
1.35218,103.82867,"[563630706, 5158074570]",2.202894
1.35228,103.82854,"[3205822998, 563630706]",2.243147
1.35231,103.82844,"[3205823000, 3205822998]",0.156877
1.35246,103.82824,"[3205823000, 3205822998]",4.259719
1.35255,103.82806,"[563630707, 3205823000]",0.865875
1.35274,103.82786,"[563630707, 3205823000]",3.151164
1.35312,103.82743,"[3205823004, 563630707]",2.589153
1.35312,103.82743,"[3205823004, 563630707]",2.589153
1.35326,103.82725,"[563630708, 5158074571]",4.259877
1.35329,103.82713,"[2689392839, 563630708]",5.349099
1.35325,103.8269,"[5694893945, 5694893946]",0.313754
1.35319,103.82654,"[2689392837, 563630709]",3.49875
1.35314,103.82637,"[563630709, 3205823003]",5.838156
1.35308,103.82628,"[563630709, 3205823003]",5.684585
1.35298,103.82617,"[3205823003, 563630685]",1.090142
1.35293,103.82607,"[563630685, 563630686]",0.349875
1.35292,103.8259,"[563630685, 563630686]",2.495327
1.35282,103.82547,"[563630686, 563630687]",1.475647
1.35277,103.8253,"[563630687, 563630688]",2.574851
1.35265,103.82505,"[563630688, 563630689]",2.925793
1.35254,103.8249,"[563630688, 563630689]",0.0
1.35251,103.82481,"[563630689, 563630690]",0.891517
1.35248,103.82452,"[563630690, 563630691]",3.678579
