lat,lon,nodes,distance
1.34258,103.83561,"[1713291236, 1713291233]",1.112911
1.34276,103.83592,"[2476461758, 1601038593]",1.387494
1.3428,103.83601,"[4954224559, 1601038593]",0.156879
1.34304,103.83638,"[4954224559, 5158041592]",0.156879
1.34316,103.83653,"[4688127149, 4688127177]",1.610689
1.34326,103.83667,"[4688127149, 5158041591]",2.796236
1.34328,103.83679,"[5158041591, 248889649]",0.110568
1.34332,103.83687,"[248889649, 248889643]",5.239414
1.3433,103.83704,"[248889649, 248889643]",5.349099
1.34326,103.83729,"[248889643, 4598447897]",5.314522
1.3432,103.8374,"[248889638, 4598447898]",4.367001
1.3431,103.83746,"[248889655, 248889615]",2.396774
1.34326,103.83766,"[5157830157, 248889655]",2.288408
1.34334,103.83773,"[248889665, 5157830157]",3.944675
1.34346,103.83778,"[5157830156, 248889665]",3.345094
1.34361,103.83781,"[248889678, 248889671]",4.473561
1.34376,103.83781,"[248889678, 248889671]",5.924281
1.34494,103.83772,"[8076660176, 248889690]",3.675795
1.34497,103.83784,"[248890426, 8076660176]",1.892786
1.34497,103.83789,"[8076605408, 248890426]",2.442655
1.34504,103.83788,"[8076660188, 8076660187]",0.672677
1.34509,103.83789,"[8076660188, 7304654642]",1.484323
1.34581,103.83797,"[1628371996, 1628372000]",1.255031
1.34583,103.83791,"[1628371996, 1628372000]",0.945456
1.34592,103.83764,"[1628372000, 1628372008]",1.475648
1.34594,103.83752,"[1628372008, 5158074559]",2.100789
1.34587,103.83711,"[1628371998, 1628371994]",2.52875
1.34573,103.8368,"[1628371994, 2689392830]",2.32735
1.34573,103.83651,"[563630553, 563630550]",1.68395
1.34578,103.83652,"[3957870805, 563630553]",3.942133
1.34587,103.83643,"[563630638, 5158074585]",1.507296
1.34593,103.83627,"[563630643, 563630638]",0.0
1.34602,103.83598,"[563630648, 563630643]",1.504739
1.34611,103.83582,"[563630606, 563630648]",1.438777
1.3463,103.83551,"[4044315934, 563630612]",2.357385
1.34651,103.83523,"[563630617, 563630619]",0.470636
1.34671,103.83501,"[563630622, 563630626]",1.022215
1.34694,103.83485,"[563630630, 563630632]",0.400465
1.34716,103.83475,"[563630636, 563630649]",0.941273
1.3473,103.83459,"[563630652, 563630554]",1.751945
1.34743,103.8344,"[563630558, 563630560]",2.396774
1.34743,103.8344,"[563630558, 563630560]",2.396774
1.34768,103.83414,"[563630569, 563630571]",0.399462
1.3478,103.83401,"[563630572, 563630574]",0.399462
1.3479,103.83386,"[563630574, 563630575]",0.990246
1.3482,103.8335,"[563630584, 563630586]",5.027875
1.34825,103.83346,"[563630586, 563630590]",4.295118
1.34852,103.83322,"[563630597, 563630653]",0.0
1.34913,103.83284,"[563630668, 563630664]",0.400465
1.34928,103.83272,"[563630670, 563630668]",2.926103
1.34932,103.83264,"[563630671, 563630670]",2.922399
1.34934,103.83252,"[563630680, 563630671]",0.456059
1.34947,103.83216,"[563630680, 563630671]",1.399502
1.34963,103.83192,"[563630684, 563630683]",1.848742
1.34977,103.8318,"[563630470, 563630684]",0.313758
1.35022,103.83151,"[563630482, 563630481]",1.201379
1.35058,103.83121,"[563630486, 661041698]",0.497056
1.35107,103.83085,"[563630488, 3987211520]",1.265796
1.35137,103.8306,"[563630711, 563630710]",0.39946
1.35162,103.83019,"[563630713, 563630712]",2.12986
1.35176,103.82996,"[563630714, 5158074582]",3.103892
1.35176,103.82988,"[563630715, 5158074581]",6.208953
1.35173,103.82983,"[5158074580, 563630715]",7.241777
1.35156,103.82978,"[563630475, 5158074579]",5.902454
1.3514,103.82978,"[563630475, 5158074579]",5.346441
1.35117,103.82979,"[563630475, 5158074579]",3.340496
1.35091,103.82974,"[563630479, 563630480]",5.734979
1.35079,103.82969,"[5158074567, 563630479]",3.39147
1.35072,103.82963,"[5158074566, 5158074567]",3.767302
1.35065,103.82954,"[563630471, 5158074566]",2.723166
1.35061,103.82946,"[563630472, 563630471]",0.56393
1.3506,103.82933,"[563630473, 563630472]",0.110568
1.35061,103.82922,"[5158074569, 563630473]",0.221136
1.35067,103.82911,"[5158074568, 563630477]",1.890068
1.35074,103.82906,"[563630478, 5158074568]",2.890745
1.3509,103.82902,"[563630464, 563630478]",0.248528
1.35119,103.82891,"[563630701, 563630468]",0.846701
1.35166,103.82882,"[3205822995, 563630704]",0.786829
1.35202,103.82874,"[5158074570, 3205822995]",0.598775
1.35215,103.82869,"[563630706, 5158074570]",1.733781
1.35221,103.82864,"[3205822998, 563630706]",1.889203
1.35226,103.82857,"[3205822998, 563630706]",2.243147
1.35231,103.82844,"[3205823000, 3205822998]",0.156877
1.35255,103.82806,"[563630707, 3205823000]",0.865875
1.35274,103.82786,"[563630707, 3205823000]",3.151164
1.35306,103.82751,"[3205823004, 563630707]",3.767302
1.35326,103.82725,"[563630708, 5158074571]",4.259877
1.35329,103.82713,"[2689392839, 563630708]",5.349099
1.35325,103.8269,"[5694893945, 5694893946]",0.313754
1.35319,103.82654,"[2689392837, 563630709]",3.49875
1.35314,103.82637,"[563630709, 3205823003]",5.838156
1.35308,103.82628,"[563630709, 3205823003]",5.684585
1.35298,103.82617,"[3205823003, 563630685]",1.090142
1.35293,103.82607,"[563630685, 563630686]",0.349875
1.35292,103.8259,"[563630685, 563630686]",2.495327
1.35282,103.82547,"[563630686, 563630687]",1.475647
1.35277,103.8253,"[563630687, 563630688]",2.574851
1.35265,103.82505,"[563630688, 563630689]",2.925793
1.35254,103.8249,"[563630688, 563630689]",0.0
1.35251,103.82481,"[563630689, 563630690]",0.891517
1.35248,103.82452,"[563630690, 563630691]",3.678579
1.35242,103.82438,"[563630690, 563630691]",3.226581
1.35238,103.82422,"[563630691, 563630692]",3.839176
1.35234,103.8241,"[563630691, 563630692]",2.147436
1.3523,103.8237,"[563630693, 563630694]",3.059098
1.35225,103.82351,"[563630693, 563630694]",2.603227
1.35219,103.8233,"[563630694, 563630695]",0.110568
1.35218,103.82309,"[563630695, 563630696]",2.711343
1.3521,103.82272,"[563630695, 563630696]",2.951295
1.35197,103.82228,"[563630696, 3205822996]",0.247561
1.35192,103.82191,"[3205822996, 563630697]",0.891517
1.35193,103.82161,"[563630697, 563630698]",0.773975
1.35197,103.82146,"[563630698, 563630699]",2.73577
1.35214,103.82116,"[5158074573, 5158074572]",2.951295
1.35216,103.82098,"[5158074572, 3205822997]",3.64874
1.35216,103.8208,"[5158074578, 563630363]",0.0
1.35219,103.82075,"[563630363, 5158074577]",1.355566
1.35224,103.82073,"[5158074577, 3205822999]",0.351699
1.35234,103.82071,"[3205822999, 5158074574]",1.224177
1.35257,103.82073,"[5158074574, 3205823001]",1.450974
1.3527,103.82071,"[5158074576, 563630365]",1.94343
1.35279,103.82066,"[5158074575, 2689392833]",3.821009
1.35284,103.8206,"[5158074575, 2689392833]",5.249742
1.35289,103.82045,"[2689392833, 563630366]",5.568574
1.35287,103.82018,"[563630367, 3205823002]",4.86626
1.35284,103.82001,"[3205823002, 563630368]",0.221136
1.35287,103.81991,"[563630368, 2689392835]",0.349875
1.35291,103.81984,"[563630368, 2689392835]",0.110568
1.35304,103.8197,"[2689392835, 563630369]",0.627509
1.35341,103.81946,"[563630370, 563630371]",1.791624
1.35356,103.81936,"[563630371, 563630372]",0.710798
1.35383,103.81911,"[563630372, 563630373]",3.119918
1.35389,103.81901,"[563630373, 563630374]",4.012478
1.35395,103.81881,"[563630373, 563630374]",0.742682
1.35406,103.81852,"[563630375, 563630405]",0.709785
1.35413,103.81842,"[563630375, 563630405]",2.589153
1.35419,103.81836,"[563630405, 563630406]",2.243147
1.35424,103.81835,"[563630405, 563630406]",1.592962
1.35441,103.81831,"[563630405, 563630406]",2.48798
1.35462,103.8183,"[563630406, 563630407]",2.559644
1.35531,103.8183,"[563630408, 563630409]",4.228977
1.35568,103.81831,"[563630410, 563630411]",1.0016
1.35568,103.81831,"[563630410, 563630411]",1.0016
1.35639,103.81833,"[563630412, 563630413]",1.112889
1.35707,103.81833,"[1600984848, 661034422]",2.039399
1.35703,103.81813,"[1600984848, 1600984840]",4.41849
1.35695,103.8179,"[1600984840, 1600984835]",2.736351
1.35693,103.81779,"[1600984835, 1600984839]",1.882946
1.35694,103.8177,"[1600984835, 1600984839]",2.222531
1.35696,103.81755,"[1600984839, 1600984841]",2.127154
1.35697,103.8174,"[1600984841, 11297540450]",0.672677
1.35704,103.81722,"[3337259778, 2689611943]",3.044253
1.35713,103.817,"[2689611943, 1600984855]",2.180284
1.3572,103.81688,"[1600984855, 11297575028]",0.313754
1.35727,103.81679,"[2689611948, 2689611950]",0.39946
1.35723,103.81665,"[5159344238, 1125498857]",2.196281
1.35711,103.81655,"[1125498857, 1125498317]",2.687437
1.35697,103.81648,"[1125498317, 563630392]",3.274384
1.35679,103.81646,"[563630392, 3378983877]",1.94343
1.3567,103.81647,"[3378983877, 563630394]",1.406796
1.35662,103.81651,"[563630394, 563630396]",0.351699
1.35635,103.81658,"[563630401, 563630402]",0.333867
1.35625,103.81658,"[563630402, 563630403]",0.786829
1.35611,103.81656,"[563630403, 563630377]",0.703398
1.35596,103.8165,"[563630379, 563630381]",0.156877
1.3559,103.81643,"[563630381, 563630382]",1.04501
1.35586,103.81632,"[563630382, 563630383]",2.694404
1.35586,103.81612,"[563630384, 563630385]",2.876918
1.35595,103.81568,"[563630389, 563630390]",4.750637
1.35594,103.81548,"[563630390, 563630391]",4.910597
1.35592,103.81536,"[563630391, 563630351]",4.837061
1.35586,103.81512,"[563630351, 563630352]",4.514209
1.35581,103.81499,"[563630352, 563630356]",3.720426
1.35567,103.81466,"[563630352, 563630356]",3.822534
1.35567,103.81466,"[563630352, 563630356]",3.822534
1.35533,103.81383,"[563630340, 563630342]",2.979817
1.35527,103.81361,"[563630342, 563630344]",4.104526
1.35521,103.81332,"[563630344, 563630346]",3.01834
1.3552,103.81312,"[563630346, 563630349]",1.111265
1.35522,103.81295,"[563630349, 563630350]",1.892786
1.35527,103.81241,"[563630311, 563630312]",1.345354
1.35531,103.8122,"[563630311, 563630312]",1.909075
1.35537,103.81211,"[563630313, 2689622632]",1.739695
1.3554,103.81209,"[563630313, 2689622632]",1.242639
1.35563,103.81203,"[563630327, 563630325]",0.890311
1.3558,103.81202,"[563630327, 563630325]",0.890311
1.3559,103.81203,"[563630328, 563630327]",0.567323
1.35603,103.81208,"[563630329, 563630328]",0.351699
1.35611,103.81212,"[563630330, 563630329]",1.448326
1.35657,103.81258,"[978172529, 563630361]",1.144043
1.35686,103.81257,"[840055165, 563630415]",1.484294
1.35685,103.81236,"[563630418, 5159344297]",2.332569
1.35674,103.81199,"[2689622641, 563630333]",2.486763
1.35663,103.81176,"[563630333, 563630334]",2.228045
1.35651,103.81145,"[563630335, 563630336]",2.770699
1.35641,103.81134,"[563630336, 5159344243]",3.175669
1.35625,103.81125,"[5159344243, 563630337]",2.934815
1.35609,103.81117,"[563630337, 563630323]",3.781314
1.35579,103.81106,"[563630323, 563630324]",0.800919
1.35577,103.81105,"[563630323, 563630324]",0.64781
1.35577,103.81105,"[563630323, 563630324]",0.64781
1.35557,103.81092,"[563630324, 563630315]",1.110299
1.35518,103.81063,"[563630315, 563630317]",0.955252
1.35501,103.81045,"[563630317, 563630319]",2.118785
1.35476,103.81008,"[563630320, 563630303]",0.892861
1.35439,103.80942,"[563630304, 563630306]",1.634914
1.35398,103.80862,"[563630279, 563630280]",1.832364
1.35382,103.8083,"[563630281, 563630282]",3.119918
1.35364,103.80796,"[563630283, 563630284]",0.110568
1.35297,103.80701,"[563630266, 5568318699]",0.912117
1.35293,103.8069,"[563630266, 5568318699]",1.717221
1.35289,103.80664,"[5568318699, 5568318697]",0.442272
1.35286,103.80639,"[5568318697, 563630267]",0.110568
1.3528,103.80623,"[563630268, 563630271]",0.39946
1.35268,103.80602,"[563630272, 563630256]",1.997299
1.3526,103.80594,"[661034409, 563630256]",2.562031
1.35265,103.8059,"[563630273, 563630256]",2.666913
1.3528,103.80582,"[563630277, 563630274]",0.351699
1.3531,103.80574,"[563630277, 563630274]",1.864469
1.3533,103.80567,"[563630258, 563630277]",1.406796
1.35366,103.8055,"[563630261, 563630260]",2.156356
1.35375,103.80545,"[563630262, 563630261]",0.710798
