lat,lon,nodes,distance
1.3417999539524317,103.83446998894215,"[1628371863, 439978152]",2.216575
1.3416499178856611,103.83419992402196,"[1628371863, 439978152]",2.839162
1.341639943420887,103.8341199606657,"[5158042863, 1628371863]",0.110568
1.3415099401026964,103.8339299429208,"[5158042865, 5158042864]",0.745596
1.3413599878549576,103.83372995071113,"[7318028292, 5158042864]",3.780794
1.3411299884319305,103.83335997350514,"[439978154, 1628371770]",3.571462
1.341029992327094,103.83317993022501,"[1628371770, 5158042836]",0.672677
1.3410199340432882,103.83298999629915,"[1628371763, 439978155]",0.884543
1.3410199340432882,103.83267994970083,"[439978155, 2476461750]",0.221136
1.3410399667918682,103.83217996917665,"[1628371785, 439978156]",2.552783
1.34099998511374,103.83163992315531,"[439978156, 1125376598]",1.221327
1.34095991961658,103.83117992430925,"[1125376598, 439978157]",2.280294
1.3409399706870317,103.83104992099106,"[439978157, 3337851213]",2.002629
1.3409499451518059,103.83088999427855,"[3337851213, 439978158]",0.672677
1.34099998511374,103.8306699693203,"[439978158, 5157714364]",1.800315
1.3409899268299341,103.83055999875069,"[1713291148, 5157714365]",1.19193
1.3409399706870317,103.83048992604017,"[3337851214, 5157714363]",1.023235
1.3408599235117435,103.83046997711062,"[439978160, 439978161]",0.786845
1.3408299162983894,103.83045991882682,"[439978160, 439978161]",0.351705
1.340777948498726,103.8304072804749,"[7366679510, 10683589957]",2.127154
1.3407350331544876,103.82969649508595,"[6584910018, 6584910017]",2.103735
1.340777948498726,103.82952215149999,"[10683589958, 7366679509]",2.662947
1.3408199418336153,103.82951997220516,"[10683589958, 7366679509]",7.318662
1.3408199418336153,103.82895997725427,"[7366679508, 10683589959]",8.650103
1.3408599235117435,103.8288099411875,"[10683589959, 10683589960]",7.254262
1.3410199340432882,103.82850995287299,"[10683589960, 10683589961]",8.76697
1.3410399667918682,103.82846997119486,"[10683589960, 10683589961]",8.669513
1.3412199262529612,103.82796999067068,"[7366679507, 7366679506]",7.674119
1.3413099478930235,103.82711998187006,"[7366679505, 7366679504]",3.981998
1.3412699662148952,103.82696994580328,"[7366679505, 7366679504]",0.663407
1.3412999734282494,103.8262199331075,"[7366679504, 7366679503]",0.110568
1.3413299806416035,103.82570997811854,"[7366679503, 7366679502]",2.766435
1.3413399551063776,103.82551996037364,"[7366679503, 7366679502]",4.313582
1.3413299806416035,103.82512995041907,"[7366679503, 7366679502]",4.203052
1.3412599917501211,103.82461999543011,"[7366679501, 7366679500]",5.338937
1.3411699701100588,103.82426996715367,"[7366679500, 7366679499]",4.864003
1.3409499451518059,103.82357996888459,"[7366679500, 7366679499]",5.003207
1.3408899307250977,103.82336991839111,"[7366679500, 7366679499]",5.702943
1.3407199457287788,103.82284998893738,"[7366679499, 7366679498]",5.59801
1.3406399823725224,103.82270992733538,"[7366679499, 7366679498]",1.994739
1.3406599313020706,103.8226399384439,"[7366679499, 7366679498]",6.507791
1.3405899424105883,103.82242997176945,"[7366679499, 7366679498]",6.402683
1.3404599390923977,103.82203996181488,"[7366679498, 7366679493]",6.052813
1.3399837631732225,103.82073037326336,"[7366679496, 7366679495]",10.756783
1.3392222672700882,103.81988279521465,"[7366679494, 7366679492]",12.194297
1.3382032793015242,103.81938926875591,"[7366679491, 7366679490]",7.40743
1.3370584789663553,103.81892256438732,"[7366679489, 7366679488]",2.236787
1.3351224269717932,103.81811253726482,"[11454790650, 11454790654]",7.066104
1.3351069204509258,103.81881058216095,"[8414287837, 6185050187]",0.247562
1.3350999634712934,103.8188199698925,"[8414287837, 6185050187]",1.337497
1.3352699484676123,103.81919992156327,"[6185050189, 6185050188]",2.883137
1.335249999538064,103.81922992877662,"[6185050189, 6185050188]",4.871219
1.3350199162960052,103.81934995763004,"[6185050189, 6185050188]",5.020805
1.3347199279814959,103.81949999369681,"[6185050188, 7366621449]",1.485369
1.3346999790519476,103.81952991709113,"[6185001981, 7366621468]",1.045016
1.3348199240863323,103.81979998201132,"[6185050185, 6185048384]",0.842917
1.3346731569617987,103.81963779218495,"[7366621451, 7366621450]",5.32842
1.334359422326088,103.82001061923802,"[9307568238, 7366621454]",0.313758
1.334041664376855,103.82032410241663,"[7366621457, 7366621456]",1.295639
1.3340499624609947,103.82032996974885,"[7366621457, 7366621456]",2.288121
1.3337399996817112,103.8204799219966,"[7366621467, 7366621458]",3.239262
1.3333499897271395,103.82060992531478,"[7366621459, 9307568239]",5.455201
1.3331199903041124,103.82063993252814,"[7366621461, 7366621460]",6.013788
1.332373833283782,103.82025377824903,"[9577754850, 7366621476]",1.197571
1.331172538921237,103.81985681131482,"[6185002307, 1127990354]",1.484323
1.3311899732798338,103.81980995647609,"[7366621479, 7366621480]",3.561613
1.3309899810701609,103.81973996758461,"[7366621480, 7366621481]",6.045818
1.3308299705386162,103.81972999311984,"[7366621481, 7366621484]",3.404006
1.330539956688881,103.819629997015,"[7366621481, 7366621484]",8.270407
1.3304399605840445,103.81959998980165,"[7366621481, 7366621484]",9.514372
1.330339964479208,103.81960996426642,"[7366621484, 7366627285]",7.144055
1.3302199356257915,103.81966997869313,"[7366627285, 7366627286]",3.697732
1.3301999866962433,103.81964994594455,"[11445567117, 7366627290]",5.700631
1.3301799539476633,103.81970996037126,"[7366627286, 7366627287]",0.111291
1.3301699794828892,103.81963997147977,"[11445567117, 7366627290]",2.280253
1.3301899284124374,103.81958993151784,"[11445567117, 7366627290]",1.538615
1.3302399683743715,103.81949999369681,"[11443452474, 11443452473]",1.702003
1.330319931730628,103.81950996816158,"[11443452472, 11443452471]",0.497064
1.330369971692562,103.81947996094823,"[11443452471, 11443452470]",0.865882
1.3304699677973986,103.81927996873856,"[11443437365, 11443437366]",2.662947
1.3304799422621727,103.8191899470985,"[11443437364, 11443437365]",4.360581
1.3304599933326244,103.81915993988514,"[11443437363, 11443437364]",5.031959
1.3304699677973986,103.81914996542037,"[11443437363, 11443437364]",6.524826
1.3305799383670092,103.81911995820701,"[11443437364, 11443437365]",17.824784
1.3307199999690056,103.81913999095559,"[7366642346, 7366642345]",4.456107
1.3307599816471338,103.81911995820701,"[7366642346, 7366642345]",1.485369
1.3309099338948727,103.8188199698925,"[7366642345, 6176416575]",1.882383
1.3311099261045456,103.8183899782598,"[6176416575, 6176416576]",3.417277
1.3313599582761526,103.81787993945181,"[11527916054, 7366642352]",2.52875
1.331449979916215,103.81762999109924,"[7366642352, 7366642353]",0.331704
1.331439921632409,103.81749998778105,"[7366642353, 11527916056]",2.0394
1.3311899732798338,103.81693999283016,"[6176416578, 6176416579]",2.066549
1.3310699444264174,103.81635996513069,"[7366642354, 7366642355]",1.12786
1.331019988283515,103.81615997292101,"[11454790661, 7366642359]",2.066549
1.3309499993920326,103.81593994796276,"[7366642358, 11527916052]",2.344568
1.330799963325262,103.81572998128831,"[6176416580, 6176416581]",1.023235
1.330539956688881,103.8154799491167,"[6176416580, 6176416581]",3.467603
1.3302599173039198,103.81529998965561,"[6176416582, 6176416581]",1.512875
1.3302299939095974,103.81537995301187,"[11516934100, 11515382863]",0.710807
1.330089932307601,103.81530996412039,"[7957482595, 392296078]",0.64782
1.3297499623149633,103.81511994637549,"[11516934082, 7957482599]",0.895826
1.3295699190348387,103.81545991636813,"[11516934083, 11516934082]",0.0
1.3293099962174892,103.81587993353605,"[11516934084, 7957482600]",1.634921
1.329199941828847,103.81607992574573,"[7957482600, 392296075]",1.634921
1.329199941828847,103.81608998402953,"[7957482600, 392296075]",2.129868
1.3291799928992987,103.81612996570766,"[11516924130, 392296075]",2.280253
1.3291099201887846,103.8160999584943,"[7956895447, 7956895446]",2.872403
1.328769950196147,103.8159099407494,"[11516934086, 7956895447]",8.195797
1.3286299724131823,103.81582997739315,"[11516934086, 7956895447]",9.090461
1.3282799441367388,103.815559996292,"[11516934086, 392296074]",4.745424
1.3279899302870035,103.81534994579852,"[392296074, 4490993867]",2.496333
1.3276999164372683,103.81518993526697,"[4490993867, 5157972104]",4.776325
