lat,lon,nodes,distance
1.34258,103.83561,"[1713291236, 1713291233]",1.112911
1.34276,103.83592,"[2476461758, 1601038593]",1.387494
1.3428,103.83601,"[4954224559, 1601038593]",0.156879
1.34304,103.83638,"[4954224559, 5158041592]",0.156879
1.34306,103.83641,"[4954224559, 5158041592]",0.0
1.34306,103.83641,"[4954224559, 5158041592]",0.0
1.34316,103.83652,"[4688127149, 4688127177]",1.960291
1.34325,103.83666,"[4688127149, 5158041591]",2.550784
1.34328,103.83673,"[4688127149, 5158041591]",0.953247
1.34332,103.83687,"[248889649, 248889643]",5.239414
1.34324,103.83734,"[4598447897, 248889638]",4.793562
1.34324,103.83735,"[4598447897, 248889638]",5.143429
1.34324,103.83735,"[4598447897, 248889638]",5.143429
1.34319,103.83742,"[248889638, 4598447898]",4.889017
1.34317,103.83743,"[4598447898, 248889615]",4.772324
1.34324,103.83752,"[5157830157, 248889655]",6.363133
1.34334,103.83764,"[248889665, 5157830157]",4.345041
1.34342,103.83769,"[5157830156, 248889665]",4.399113
1.34356,103.83773,"[248889671, 5157830156]",4.030818
1.34385,103.83774,"[248889678, 248889671]",0.897168
1.3448,103.83766,"[248889690, 248889685]",1.673025
1.3448,103.83766,"[248889690, 248889685]",1.673025
1.345,103.83764,"[4598447899, 248889690]",2.360536
1.34502,103.83776,"[8076660187, 8076660186]",2.442655
1.34504,103.83788,"[8076660188, 8076660187]",0.672677
1.34581,103.83797,"[1628371996, 1628372000]",1.255031
1.34581,103.83797,"[1628371996, 1628372000]",1.255031
1.34592,103.8376,"[1628372000, 1628372008]",0.349876
1.34593,103.83746,"[1628372008, 5158074559]",0.995111
1.34588,103.83714,"[5158074559, 1628371998]",2.629266
1.34573,103.8368,"[1628371994, 2689392830]",2.32735
1.34573,103.83651,"[563630553, 563630550]",1.68395
1.34578,103.83652,"[3957870805, 563630553]",3.942133
1.34587,103.83643,"[563630638, 5158074585]",1.507296
1.34587,103.83643,"[563630638, 5158074585]",1.507296
1.34593,103.83627,"[563630643, 563630638]",0.0
1.34602,103.83598,"[563630648, 563630643]",1.504739
1.3463,103.83551,"[4044315934, 563630612]",2.357385
1.34651,103.83523,"[563630617, 563630619]",0.470636
1.34671,103.83501,"[563630622, 563630626]",1.022215
1.34694,103.83485,"[563630630, 563630632]",0.400465
1.34708,103.83479,"[563630632, 563630636]",0.111291
1.34719,103.83473,"[563630636, 563630649]",1.962042
1.34743,103.8344,"[563630558, 563630560]",2.396774
1.34768,103.83414,"[563630569, 563630571]",0.399462
1.3478,103.83401,"[563630572, 563630574]",0.399462
1.3479,103.83386,"[563630574, 563630575]",0.990246
1.3482,103.8335,"[563630584, 563630586]",5.027875
1.34825,103.83346,"[563630586, 563630590]",4.295118
1.34852,103.83322,"[563630597, 563630653]",0.0
1.34913,103.83284,"[563630668, 563630664]",0.400465
1.34928,103.83272,"[563630670, 563630668]",2.926103
1.34932,103.83264,"[563630671, 563630670]",2.922399
1.34934,103.83252,"[563630680, 563630671]",0.456059
1.34947,103.83216,"[563630680, 563630671]",1.399502
1.34963,103.83192,"[563630684, 563630683]",1.848742
1.34977,103.8318,"[563630470, 563630684]",0.313758
1.35022,103.83151,"[563630482, 563630481]",1.201379
1.35058,103.83121,"[563630486, 661041698]",0.497056
1.35102,103.83089,"[3987211520, 563630486]",1.201379
1.35102,103.83089,"[3987211520, 563630486]",1.201379
1.35135,103.83062,"[563630710, 563630488]",0.0
1.3514,103.83057,"[563630711, 563630710]",1.10828
1.35154,103.83032,"[563630712, 563630711]",2.305769
1.35173,103.83004,"[5158074582, 563630713]",0.805344
1.35176,103.82995,"[5158074581, 563630714]",3.394107
1.35177,103.82989,"[5158074581, 563630714]",6.587079
1.35175,103.82985,"[563630715, 5158074581]",7.16213
1.35166,103.8298,"[5158074579, 5158074580]",5.947802
1.35141,103.82978,"[563630475, 5158074579]",5.346441
1.35121,103.8298,"[563630475, 5158074579]",2.33968
1.35099,103.82976,"[563630480, 563630476]",6.070925
1.35087,103.82972,"[563630479, 563630480]",5.334822
1.35076,103.82966,"[5158074567, 563630479]",4.344978
1.35063,103.82951,"[563630472, 563630471]",1.583546
1.3506,103.8294,"[563630473, 563630472]",0.110568
1.35061,103.82929,"[563630473, 563630472]",1.326815
1.35063,103.82917,"[563630477, 5158074569]",0.79892
1.35065,103.82913,"[5158074568, 563630477]",1.649587
1.35069,103.82909,"[5158074568, 563630477]",2.046445
1.3509,103.82902,"[563630464, 563630478]",0.248528
1.35119,103.82891,"[563630701, 563630468]",0.846701
1.35166,103.82882,"[3205822995, 563630704]",0.786829
1.35202,103.82874,"[5158074570, 3205822995]",0.598775
1.35215,103.82869,"[563630706, 5158074570]",1.733781
1.35221,103.82864,"[3205822998, 563630706]",1.889203
1.35226,103.82857,"[3205822998, 563630706]",2.243147
1.35231,103.82844,"[3205823000, 3205822998]",0.156877
1.35255,103.82806,"[563630707, 3205823000]",0.865875
1.35265,103.82794,"[563630707, 3205823000]",1.022206
1.3528,103.8278,"[563630707, 3205823000]",4.017011
1.35315,103.82739,"[5158074571, 3205823004]",2.118785
1.35324,103.82728,"[563630708, 5158074571]",3.517747
1.35328,103.8272,"[2689392839, 563630708]",5.129767
1.35328,103.82707,"[5694893945, 2689392839]",4.67707
1.35324,103.82678,"[5694893945, 2689392837]",4.238266
1.35316,103.82641,"[2689392837, 563630709]",5.267459
1.35305,103.82625,"[3205823003, 563630685]",4.407183
1.35296,103.82614,"[3205823003, 563630685]",0.495121
1.35293,103.82605,"[563630685, 563630686]",0.110568
1.35291,103.82586,"[563630685, 563630686]",2.255719
1.35279,103.82538,"[563630687, 563630688]",0.742682
1.35271,103.82516,"[563630687, 563630688]",3.417265
1.35254,103.82491,"[563630688, 563630689]",0.495121
1.35252,103.82486,"[563630688, 563630689]",0.156877
1.3525,103.82468,"[563630689, 563630690]",2.364213
1.35247,103.82448,"[563630690, 563630691]",4.27451
1.35241,103.82437,"[563630690, 563630691]",2.590305
1.35237,103.82421,"[563630691, 563630692]",2.928123
1.3523,103.82386,"[563630692, 563630693]",1.441684
1.3523,103.82368,"[563630693, 563630694]",3.648468
1.35226,103.82353,"[563630693, 563630694]",3.192409
1.35222,103.82342,"[563630694, 563630695]",1.563871
1.35216,103.82301,"[563630695, 563630696]",2.495327
1.35203,103.82252,"[563630696, 3205822996]",0.110568
1.35194,103.82214,"[3205822996, 563630697]",1.441684
1.35194,103.82214,"[3205822996, 563630697]",1.441684
1.35192,103.82172,"[563630697, 563630698]",0.552839
1.35194,103.82157,"[563630697, 563630698]",1.551946
1.35198,103.82143,"[563630698, 563630699]",2.032946
1.35207,103.82129,"[563630698, 563630699]",2.73577
1.35215,103.82113,"[5158074573, 5158074572]",3.299745
1.35216,103.82093,"[5158074572, 3205822997]",3.64874
1.35217,103.82078,"[5158074578, 563630363]",0.39946
1.35224,103.82073,"[5158074577, 3205822999]",0.351699
1.35234,103.82071,"[3205822999, 5158074574]",1.224177
1.35244,103.82071,"[3205822999, 5158074574]",1.335466
1.35263,103.82073,"[5158074574, 3205823001]",1.895139
1.35279,103.82066,"[5158074575, 2689392833]",3.821009
1.35288,103.82052,"[2689392833, 563630366]",6.412884
1.35289,103.82028,"[563630366, 563630367]",6.648992
1.35284,103.82001,"[3205823002, 563630368]",0.221136
1.35291,103.81984,"[563630368, 2689392835]",0.110568
1.35304,103.8197,"[2689392835, 563630369]",0.627509
1.35325,103.81956,"[563630369, 563630370]",2.132395
1.35356,103.81936,"[563630371, 563630372]",0.710798
1.35383,103.81911,"[563630372, 563630373]",3.119918
1.35389,103.81901,"[563630373, 563630374]",4.012478
1.35395,103.81881,"[563630373, 563630374]",0.742682
1.35406,103.81852,"[563630375, 563630405]",0.709785
1.35413,103.81842,"[563630375, 563630405]",2.589153
1.35419,103.81836,"[563630405, 563630406]",2.243147
1.35441,103.81831,"[563630405, 563630406]",2.48798
1.35567,103.81831,"[563630410, 563630411]",1.0016
1.35666,103.81833,"[563630413, 563630414]",2.228522
1.35707,103.81833,"[1600984848, 661034422]",2.039399
1.35707,103.81841,"[4838338636, 661034422]",1.216247
1.35707,103.81849,"[4838338636, 661034422]",1.105679
1.35707,103.81878,"[4838338636, 661034422]",0.552839
1.35711,103.81899,"[1600984853, 1600984856]",0.470632
1.35721,103.81914,"[1600984856, 440602723]",2.733807
1.35738,103.81924,"[440602723, 978172677]",5.101953
1.35838,103.81963,"[978172675, 978172674]",5.170741
1.35856,103.81973,"[978172674, 978172673]",5.486144
1.35904,103.82016,"[978172672, 978172671]",4.553163
1.35928,103.82036,"[978172671, 978172670]",3.142482
1.35928,103.82036,"[978172671, 978172670]",3.142482
1.3597,103.82064,"[978172670, 978172669]",2.865757
1.35988,103.82072,"[978172669, 978172668]",2.919447
1.36021,103.82084,"[978172668, 978172667]",5.271656
1.36036,103.82092,"[978172668, 978172667]",4.176957
1.36055,103.82102,"[1125498727, 4000029278]",4.285948
1.3606,103.82107,"[4000029278, 978172664]",3.226106
1.36063,103.82113,"[4000029278, 978172664]",4.211838
1.36064,103.82126,"[978172664, 1125498155]",4.545561
1.36059,103.82135,"[1125498155, 978172662]",1.191927
1.36048,103.82143,"[5158088560, 5158088561]",0.703398
1.36043,103.82154,"[4838324638, 978172660]",0.86689
1.36037,103.82158,"[4838324638, 978172660]",0.0
1.36035,103.82163,"[978172660, 978172658]",0.331704
1.36037,103.82168,"[978172660, 978172658]",1.879654
1.36037,103.82175,"[978172658, 4000029269]",2.659706
1.36033,103.82181,"[978172658, 4000029269]",0.221136
1.3603,103.82193,"[4000029269, 4000029267]",1.10828
1.36023,103.82201,"[4000029269, 4000029267]",0.156877
1.36022,103.82201,"[4000029269, 4000029267]",0.709785
1.36022,103.82206,"[978172657, 5158088557]",0.884543
1.36025,103.82211,"[5158088558, 5158088559]",1.973515
1.36035,103.82216,"[1125498251, 1125498428]",6.217374
1.36038,103.82225,"[1125498428, 978172655]",3.912203
1.3604,103.82229,"[1125498428, 978172655]",4.012478
1.36041,103.8223,"[978172655, 4000029270]",4.667888
1.36041,103.82236,"[978172655, 4000029270]",3.895395
1.36042,103.82262,"[4000029270, 4838324640]",3.0979
1.36036,103.82277,"[978172653, 5158088556]",1.04501
1.3603,103.82289,"[5158088556, 978172650]",2.449125
1.36022,103.82315,"[978172650, 4000029266]",0.0
1.36022,103.82327,"[4000029266, 978172649]",3.866027
1.36016,103.82336,"[978172649, 978172648]",1.644926
1.35993,103.8238,"[1125498357, 5158088600]",0.842914
1.35986,103.82384,"[5158088582, 5158088583]",0.676826
1.35981,103.82385,"[4000029265, 5158088582]",1.450974
1.3597,103.82376,"[5158088580, 5158088579]",1.110299
1.35967,103.82373,"[5158088580, 5158088579]",0.248528
1.35967,103.82373,"[5158088580, 5158088579]",0.248528
1.3595,103.82366,"[4838338639, 4838338638]",0.846701
1.35933,103.82354,"[4838338641, 4838338640]",1.448326
1.35916,103.82344,"[4838338642, 4838338641]",1.6196
1.35913,103.82342,"[4838338642, 4838338641]",2.88787
1.35899,103.82342,"[4838338643, 4838338642]",0.779022
1.3589,103.82341,"[4838338643, 4838338642]",0.890311
1.35882,103.82343,"[4838338710, 4838338643]",0.89715
1.35875,103.82345,"[4838338710, 4838338643]",3.679184
1.35867,103.82344,"[4838338710, 4838338645]",3.384128
1.35852,103.8234,"[4838338710, 4838338645]",1.701969
1.35833,103.82333,"[4838338645, 4838338646]",0.111289
1.35816,103.8233,"[4838338646, 4838338648]",2.674101
1.35816,103.8233,"[4838338646, 4838338648]",2.674101
1.35797,103.82324,"[4838338648, 4838338649]",2.185565
1.35762,103.82315,"[4838338649, 4838338650]",3.025693
1.35735,103.82306,"[4838338652, 4838338653]",1.19755
1.35714,103.82292,"[4838338654, 7858785477]",1.201379
1.35702,103.82282,"[7858785478, 4838338655]",2.220597
1.35698,103.82281,"[4838338655, 5158088607]",0.676826
1.3569,103.82283,"[5158088606, 5158088605]",0.994111
1.35684,103.82291,"[5158088611, 4838338657]",0.456058
1.35686,103.823,"[5158088609, 5158088608]",1.255018
1.35695,103.82303,"[4838338658, 5158088613]",0.745584
1.35703,103.82316,"[5158088612, 4838338660]",1.41957
