lat,lon,nodes,distance
1.3418199867010117,103.8344999961555,"[5158041580, 439978152]",2.280253
1.3416499178856611,103.83419992402196,"[1628371863, 439978152]",2.839162
1.341639943420887,103.8341199606657,"[5158042863, 1628371863]",0.110568
1.3415099401026964,103.8339299429208,"[5158042865, 5158042864]",0.745596
1.3413599878549576,103.83372995071113,"[7318028292, 5158042864]",3.780794
1.3410899229347706,103.83329995907843,"[439978154, 1628371770]",3.07723
1.3410199340432882,103.83313994854689,"[5158042836, 1628371763]",0.331704
1.3410399667918682,103.83223998360336,"[2476461750, 1628371785]",2.100789
1.34097995236516,103.83132996037602,"[1125376598, 439978157]",0.805345
1.34097995236516,103.83125997148454,"[1125376598, 439978157]",2.495328
1.3411299884319305,103.83129995316267,"[5158042830, 5158041583]",1.751945
1.3412899989634752,103.8312899786979,"[1628371840, 1713291182]",1.244015
1.3415799289941788,103.83135996758938,"[1628371840, 661041629]",0.111291
1.3418299611657858,103.83126994594932,"[4811019900, 5157714378]",3.274449
1.3418299611657858,103.83121998980641,"[4811019900, 5157714378]",2.250403
1.3418199867010117,103.83119995705783,"[4811020476, 5157714378]",1.879653
1.3417999539524317,103.8311499170959,"[5157714376, 4811020476]",0.672677
1.341869942843914,103.83102997206151,"[5157714379, 5157714374]",0.710807
1.3418999500572681,103.83099996484816,"[5157714375, 5157714379]",0.248532
1.3419599644839764,103.83097993209958,"[4811020474, 5157714375]",0.779038
1.3420499861240387,103.83098999038339,"[5157714380, 4811020474]",1.937505
1.3420799933373928,103.83093995042145,"[5157714380, 4811020474]",1.937505
1.3421099167317152,103.83087993599474,"[5157714380, 4811020474]",1.29167
1.342119975015521,103.83084992878139,"[5157714380, 4811019908]",0.248532
1.3421599566936493,103.83084992878139,"[5157714380, 4811019908]",2.649595
1.3421899639070034,103.83082997985184,"[4811019908, 4811019910]",3.203722
1.3422099966555834,103.83078999817371,"[4811019910, 4811019904]",2.874764
1.3421999383717775,103.8307199254632,"[4811019905, 4811019904]",2.13769
1.3422399200499058,103.8307199254632,"[5157714371, 4811019904]",0.110568
1.342299934476614,103.83069997653365,"[5157714381, 5157714372]",2.236781
1.342349974438548,103.8307199254632,"[5157714382, 5157714370]",2.903829
1.3424199633300304,103.83065999485552,"[1628371948, 1628371949]",3.398159
1.3425099849700928,103.83058992214501,"[1628371949, 1628371953]",3.420826
1.342569999396801,103.83057994768023,"[1628371949, 1628371953]",6.441462
1.3426799699664116,103.83055999875069,"[5157714391, 1125376158]",6.877754
1.342779966071248,103.83054994046688,"[5157714391, 1125376158]",4.214822
1.342769991606474,103.83035992272198,"[5157714392, 4811020455]",3.87627
1.3427899405360222,103.82999991998076,"[5157714392, 4811020456]",1.69179
1.3428199477493763,103.82970998995006,"[4811020456, 4811020459]",1.345354
1.3427899405360222,103.82957998663187,"[5157714394, 4811020464]",1.178692
1.3426999188959599,103.82951997220516,"[4811020465, 5157714393]",0.111291
1.34183993563056,103.8296799827367,"[1125526052, 4826516861]",0.676839
1.3414799328893423,103.82973999716341,"[1125526476, 5157715622]",0.0
1.3413599878549576,103.82972993887961,"[5157714388, 5157714389]",2.129372
1.3412899989634752,103.8296699244529,"[5157715623, 661041628]",4.703669
1.3412799406796694,103.82965994998813,"[5157715623, 661041628]",5.198792
1.3412899989634752,103.82960999384522,"[5157714387, 5157715623]",2.564883
1.3413799367845058,103.82943992502987,"[1628371837, 1628371819]",0.313758
1.3416099362075329,103.82917991839349,"[5157714420, 1628371837]",2.044429
1.3419799972325563,103.82870994508266,"[661041626, 5157714419]",1.597849
1.3422099966555834,103.82838992401958,"[661041626, 5157714419]",1.997311
1.3424899522215128,103.82793998345733,"[5157714418, 661041626]",1.140126
1.3426999188959599,103.82749993354082,"[661041625, 5157714418]",1.584914
1.342979958280921,103.82680993527174,"[661041625, 5157714418]",0.349876
1.3432699721306562,103.82614994421601,"[661041625, 5157714418]",0.0
1.3433199282735586,103.8259799592197,"[5157714417, 661041625]",0.912118
1.3434699643403292,103.82545994594693,"[3205664464, 3205664462]",1.644929
1.3435899931937456,103.82500992156565,"[661041624, 3205664464]",2.22253
1.3435899931937456,103.82476994767785,"[3205664463, 661041624]",1.563871
1.3435599859803915,103.82456995546818,"[3205664463, 661041624]",1.111265
1.3434699643403292,103.82431992329657,"[5157714415, 1628371991]",2.396774
1.343419924378395,103.82424993440509,"[5157714415, 1628371991]",1.997311
1.343029998242855,103.8238799571991,"[5157714416, 1628371981]",1.725667
1.3428799621760845,103.82376998662949,"[1628371963, 5157714416]",1.491192
1.3426899444311857,103.823699997738,"[5157715628, 1628371963]",3.680121
1.3426399882882833,103.82364995777607,"[1628371954, 5157715628]",2.583339
1.3425999227911234,103.82357996888459,"[10605937952, 1628371954]",2.383859
1.3425899483263493,103.8235099799931,"[10605937952, 1628371954]",3.097899
1.3425999227911234,103.82343999110162,"[661041623, 10605937952]",1.772583
1.3428599294275045,103.82313991896808,"[3205660960, 3205660959]",3.6106
1.3430699799209833,103.82293992675841,"[1628371987, 3205660960]",4.948815
1.343259997665882,103.82277991622686,"[1628371987, 3205660960]",6.202713
1.3433399610221386,103.8226399384439,"[3205664461, 1628371987]",3.755793
1.3433799427002668,103.82246995344758,"[3205664461, 1628371987]",3.863298
1.343409949913621,103.82218999788165,"[1628371989, 3205664461]",6.09039
1.3433799427002668,103.8220199290663,"[1628371976, 1628371989]",4.481167
1.3433399610221386,103.82192999124527,"[1628371976, 1628371989]",3.743972
1.3433199282735586,103.82181993685663,"[1628371976, 1628371989]",5.776313
1.3431199360638857,103.82145993411541,"[1628371961, 1628371976]",0.399462
1.3428799621760845,103.82099993526936,"[1628371961, 1628371976]",1.237808
1.342759933322668,103.8207299541682,"[3205660958, 1628371961]",2.433398
1.3426799699664116,103.82062995806336,"[3205660958, 1628371961]",4.39643
1.3424699194729328,103.82050992920995,"[1628371947, 3205660958]",1.376071
1.342299934476614,103.82046994753182,"[1628371947, 3205660958]",1.268345
1.3417999539524317,103.82044999860227,"[10606118604, 661041622]",5.231852
1.3415899872779846,103.82043994031847,"[3337803819, 3337803816]",1.91053
1.341419918462634,103.82033994421363,"[3337803819, 3337803816]",0.156879
1.3413199223577976,103.82026995532215,"[3337803819, 3337803816]",0.400465
1.341179944574833,103.82014992646873,"[3337803819, 3337803816]",1.355584
1.3410799484699965,103.82003995589912,"[3337803816, 661041621]",4.562333
1.34095991961658,103.81994993425906,"[3337803816, 661041621]",3.226143
1.3406599313020706,103.81965992040932,"[661041621, 661041620]",4.792119
1.3404699973762035,103.8194299209863,"[661041621, 661041620]",9.584239
1.3396299630403519,103.8187599554658,"[661041621, 661041620]",2.202919
1.3386499509215355,103.8179599866271,"[661041620, 661041619]",3.93654
1.338349962607026,103.81771992892027,"[661041619, 661041618]",6.121307
1.3380199670791626,103.81747995503247,"[3205660950, 661041618]",5.912087
1.3380599487572908,103.81745992228389,"[3205660950, 661041618]",4.889017
1.338139995932579,103.81735992617905,"[661041630, 661041618]",6.903428
1.3381799776107073,103.8172799628228,"[661041630, 661041618]",9.806216
1.3382799737155437,103.81724995560944,"[661041630, 661041618]",4.000667
1.3383299298584461,103.81721994839609,"[3205660951, 661041630]",2.061396
1.3384699914604425,103.81701995618641,"[3205660951, 661041630]",2.770719
1.338529922068119,103.8169099856168,"[3205660951, 661041774]",5.810947
1.3386299181729555,103.81680998951197,"[3205660951, 661041774]",4.94575
1.3388299942016602,103.81658996455371,"[3205660951, 661041774]",4.632371
1.3389499392360449,103.81645996123552,"[661041774, 1125371451]",4.405118
1.338999979197979,103.8164699357003,"[661041774, 1125371451]",1.834761
1.3390899170190096,103.81650991737843,"[1125371451, 1125373080]",1.864504
1.3393099419772625,103.81659993901849,"[1125373080, 661041773]",5.744359
1.3393799308687449,103.8166099973023,"[1125373080, 661041773]",5.618125
1.3394799269735813,103.81658996455371,"[661041773, 1125375763]",5.478681
1.3395599741488695,103.816529950127,"[1125375763, 1125370198]",4.134766
1.3397799991071224,103.81632995791733,"[1125370198, 1125373831]",2.515979
1.3398299552500248,103.81626994349062,"[1125373831, 1125376005]",2.950221
1.339889969676733,103.81614999845624,"[1125373831, 1125376005]",0.798925
1.3399799913167953,103.8159899879247,"[1125376005, 661041772]",2.513938
1.34011996909976,103.81581991910934,"[661041772, 1125374276]",2.061396
1.3401799835264683,103.81568999961019,"[1125374276, 661041771]",2.836368
1.3402499724179506,103.81552998907864,"[661041771, 1125371371]",1.368177
1.340299928560853,103.81526998244226,"[661041771, 1125371371]",3.434444
1.340339994058013,103.81520996801555,"[661041771, 1125371371]",0.805345
1.3404299318790436,103.81514995358884,"[1125371371, 661041770]",1.882546
1.3404799718409777,103.81505993194878,"[661041770, 1125376871]",1.29167
1.3405899424105883,103.81487997248769,"[5159344227, 5159344229]",1.733802
1.3406699895858765,103.81486999802291,"[5159344229, 5159344228]",2.386162
1.3410899229347706,103.81490997970104,"[661041769, 661041768]",3.824071
1.3413899950683117,103.81491995416582,"[661041768, 661041767]",0.111291
1.341689983382821,103.81491995416582,"[661041767, 5159344230]",0.222582
1.3417999539524317,103.81494996137917,"[5159344230, 1125370077]",3.133756
1.3418499939143658,103.81495993584394,"[5159344230, 1125370077]",3.674271
1.342099942266941,103.81490997970104,"[3337729365, 661041766]",2.14039
