lat,lon,nodes,distance
1.3422799855470657,103.83518999442458,"[4954246722, 4954246721]",3.239262
1.3426499627530575,103.83573993109167,"[2476461758, 1601038593]",1.045016
1.342759933322668,103.83591997437179,"[2476461758, 1601038593]",1.387494
1.342999991029501,103.83630998432636,"[4954224559, 5158041592]",0.399462
1.3430599216371775,103.8364099804312,"[4954224559, 5158041592]",0.0
1.343209957703948,103.8365999981761,"[4688127149, 5158041591]",2.550784
1.343259997665882,103.83666998706758,"[4688127149, 5158041591]",2.796236
1.3432799465954304,103.83678993210196,"[5158041591, 248889649]",0.110568
1.3433199282735586,103.83686997927725,"[248889649, 248889643]",5.239414
1.3432999793440104,103.83704993873835,"[248889649, 248889643]",5.458819
1.343259997665882,103.83728999644518,"[248889643, 4598447897]",5.314522
1.343209957703948,103.83740994147956,"[248889638, 4598447898]",5.874279
1.343179950490594,103.83742997422814,"[4598447898, 248889615]",5.269291
1.3432399649173021,103.8375199958682,"[5157830157, 248889655]",6.363133
1.3433399610221386,103.83763994090259,"[248889665, 5157830157]",4.345041
1.343419924378395,103.83768998086452,"[5157830156, 248889665]",4.399113
1.3435599859803915,103.83772996254265,"[248889671, 5157830156]",4.030818
1.343689989298582,103.83773993700743,"[248889678, 248889671]",2.458371
1.3441599626094103,103.83770992979407,"[248889685, 248889678]",1.007704
1.3444599509239197,103.83768998086452,"[248889690, 248889685]",0.333873
1.3449299242347479,103.83763994090259,"[248889690, 248889685]",3.118113
1.3449499569833279,103.83771998807788,"[8076660176, 248889690]",2.564883
1.3449699897319078,103.83783993311226,"[248890426, 8076660176]",1.892786
1.344959931448102,103.8380799908191,"[8076605408, 8076605405]",1.001315
1.3449499569833279,103.83817998692393,"[8076605405, 243415666]",0.672677
1.3451199419796467,103.83819993585348,"[8076605406, 8076605404]",2.458371
1.3452899269759655,103.83821996860206,"[8076605404, 8076605403]",3.012987
1.3453599996864796,103.83825995028019,"[8076605404, 8076605403]",6.811232
