lat,lon,nodes,distance
1.34184,103.83451,"[5158041580, 439978152]",0.892865
1.342,103.83476,"[5158041575, 5158041579]",4.832046
1.34182,103.83473,"[2596121269, 2596121257]",5.744806
1.34182,103.83474,"[2596121269, 2596121257]",6.239861
1.34182,103.83476,"[2596121257, 2596121261]",7.022442
1.3418,103.83479,"[2596121265, 2596121277]",8.461333
1.34176,103.83483,"[2596121278, 2596121254]",5.130127
1.34174,103.83483,"[2596121266, 2596121254]",4.278103
1.34166,103.83506,"[4954246726, 1628371872]",4.426945
1.34159,103.83516,"[1125374987, 439978150]",5.618328
1.34149,103.83525,"[1125374987, 439978150]",6.054095
1.3419,103.83592,"[244315781, 241900907]",0.895826
1.34202,103.83613,"[3785013003, 3251145318]",3.173071
1.34202,103.83613,"[3785013003, 3251145318]",3.173071
1.34253,103.83697,"[243415660, 4732362810]",1.387494
1.34285,103.83758,"[248889609, 7350122178]",2.527602
1.34305,103.8379,"[7334138318, 243415664]",0.555156
1.34323,103.83808,"[1717654168, 243415664]",7.106375
1.34365,103.83814,"[1794540866, 1717654171]",3.055294
1.34365,103.83814,"[1794540866, 1717654171]",3.055294
1.34407,103.83821,"[243415663, 1717654221]",4.485842
1.34498,103.83829,"[243415666, 4810520700]",0.786845
1.34566,103.83836,"[243415666, 4810520700]",0.111291
1.34581,103.83837,"[243415666, 4810520700]",0.676839
1.34581,103.83837,"[243415666, 4810520700]",0.676839
1.3464,103.8384,"[243415667, 241598786]",2.680126
1.34653,103.83843,"[243415667, 241598786]",0.667747
1.34664,103.83847,"[243415667, 241598786]",2.680126
1.34685,103.83842,"[241598786, 6895851982]",0.567334
1.34722,103.83829,"[1854312325, 1854312326]",2.890795
1.34832,103.83768,"[241598770, 206256075]",0.351705
1.34869,103.8375,"[5953038601, 3174051929]",5.422337
1.34917,103.83714,"[3174051929, 9502074600]",3.111544
1.34963,103.83677,"[9502074600, 206256158]",0.470636
1.35029,103.8362,"[9502074600, 206256158]",0.710798
1.35064,103.83595,"[8027389007, 5648108149]",1.438773
1.35095,103.83581,"[1857011358, 5648108150]",0.846701
1.35166,103.83558,"[7738998388, 7738998391]",0.351699
1.35195,103.83548,"[206256180, 5648108164]",0.598775
1.35207,103.83541,"[5648108164, 1601016992]",0.156877
1.35233,103.83521,"[1601016992, 5497453554]",1.110299
1.35261,103.83494,"[248889863, 206256177]",1.882527
1.35261,103.83494,"[248889863, 206256177]",1.882527
1.35295,103.83463,"[5497769914, 248889863]",1.411895
1.35332,103.83422,"[8027763513, 8027621757]",0.842914
1.35395,103.83348,"[8882789449, 8882789448]",2.378546
1.35438,103.83292,"[5648108233, 5648108171]",7.807636
1.35458,103.83252,"[10898604744, 5648108172]",10.347993
1.35499,103.83166,"[8021006600, 5267997350]",5.876982
1.35526,103.8311,"[5952941494, 1125498672]",2.909027
1.35549,103.83072,"[5648108236, 1601010905]",0.953241
1.35588,103.83025,"[2473140279, 206256152]",2.305769
1.35687,103.82924,"[5664692994, 206256171]",0.470632
1.35717,103.82898,"[1125498804, 5664692991]",0.497056
1.35759,103.82873,"[11283742901, 8012437751]",3.138735
1.35788,103.82865,"[1600998675, 206256079]",4.128133
1.35822,103.82863,"[5646322746, 1318459219]",0.556444
1.35862,103.82866,"[206256124, 5930664452]",0.676826
1.35882,103.82868,"[4598764380, 206256124]",0.676826
