lat,lon,nodes,distance
1.34186,103.83466,"[2596121267, 2596121269]",3.069704
1.34183,103.8346,"[2596121262, 2596121267]",7.353764
1.34182,103.8345,"[5158041580, 439978152]",2.280253
1.34165,103.8342,"[1628371863, 439978152]",2.839162
1.34159,103.83416,"[1628371863, 439978153]",0.156879
1.34145,103.83397,"[5158042865, 5158042864]",1.83237
1.34131,103.83376,"[7318028292, 5158042864]",2.735785
1.34099,103.83324,"[1628371770, 5158042836]",4.817819
1.34096,103.83316,"[1628371770, 5158042836]",6.617753
1.34095,103.83299,"[1628371763, 439978155]",6.856109
1.34097,103.83218,"[1628371785, 439978156]",5.215721
1.34104,103.83218,"[1628371785, 439978156]",2.552783
1.34102,103.83191,"[1628371785, 439978156]",2.883368
1.34098,103.83126,"[1125376598, 439978157]",2.495328
1.34113,103.8313,"[5158042830, 5158041583]",1.751945
1.34129,103.83129,"[1628371840, 1713291182]",1.244015
1.34158,103.83136,"[1628371840, 661041629]",0.111291
1.34183,103.83127,"[4811019900, 5157714378]",3.274449
1.34183,103.83122,"[4811019900, 5157714378]",2.250403
1.34182,103.8312,"[4811020476, 5157714378]",1.879653
1.3418,103.83117,"[4811020476, 5157714378]",0.331704
1.3418,103.83114,"[5157714376, 4811020476]",0.912118
1.34188,103.83102,"[5157714379, 5157714374]",0.470636
1.34195,103.83099,"[4811020474, 5157714375]",0.333873
1.34205,103.83099,"[5157714380, 4811020474]",1.937505
1.34211,103.83087,"[5157714380, 4811020474]",0.645835
1.34212,103.83085,"[5157714380, 4811019908]",0.248532
1.34215,103.83085,"[5157714380, 4811019908]",2.096012
1.34217,103.83085,"[4811019908, 4811019910]",2.496333
1.34219,103.83083,"[4811019908, 4811019910]",3.203722
1.34221,103.83078,"[4811019910, 4811019904]",2.874764
1.3422,103.83072,"[4811019905, 4811019904]",2.13769
1.34222,103.83071,"[5157714371, 4811019904]",2.455299
1.34234,103.83071,"[5157714381, 5157714382]",2.386162
1.34239,103.83069,"[5157714382, 5157714370]",2.5902
1.34248,103.83059,"[1628371949, 1628371953]",1.421614
1.34261,103.83057,"[1628371953, 1628371958]",7.249442
1.34266,103.83056,"[1628371958, 1125376158]",7.797438
1.34278,103.83055,"[5157714391, 1125376158]",4.214822
1.34277,103.83038,"[5157714392, 4811020455]",3.986661
1.34277,103.83013,"[5157714392, 4811020456]",2.147437
1.34279,103.82994,"[5157714392, 4811020456]",0.456059
1.34282,103.82967,"[5157714395, 4811020459]",1.673387
1.34278,103.82957,"[5157714394, 4811020464]",1.335264
1.34274,103.82955,"[5157714393, 5157714394]",2.402792
1.3427,103.82952,"[4811020465, 5157714393]",0.111291
1.34232,103.82958,"[1125526052, 4826516861]",0.0
1.34221,103.8296,"[1125526052, 4826516861]",0.222582
1.34148,103.82974,"[1125526476, 5157715622]",0.0
1.34136,103.82973,"[5157714388, 5157714389]",2.129372
1.34133,103.82971,"[5157714389, 5157715621]",3.480233
1.34136,103.82969,"[5157714389, 5157715621]",0.554144
1.34142,103.82962,"[5157714390, 661041628]",1.110313
1.34145,103.82958,"[1125526098, 5157714390]",0.800931
1.34153,103.8295,"[1125526098, 5157714390]",3.886917
1.34173,103.82937,"[3337828988, 1125526098]",2.931171
1.34197,103.82918,"[3337828992, 3337828988]",1.098152
1.34233,103.82885,"[1125373030, 3337828992]",1.255031
1.34283,103.82831,"[215367162, 3337829901]",4.588504
1.34305,103.82796,"[3337829929, 5157715624]",3.329154
1.34312,103.82769,"[5157715625, 3337829929]",0.995111
1.34313,103.82735,"[5157715625, 3337829929]",1.326814
1.34316,103.82727,"[3337829931, 5157715625]",1.19193
1.34326,103.82715,"[3337829943, 3337829933]",3.311398
1.34344,103.82698,"[3337829943, 3337829933]",1.57763
1.34363,103.8267,"[5157715626, 3337829943]",2.33659
1.34367,103.82659,"[10608053014, 5157715626]",2.173237
1.3437,103.82648,"[215367049, 10608053014]",1.485369
1.34389,103.82612,"[5157714398, 10608053013]",1.140126
1.34401,103.82592,"[5157714398, 10608053013]",2.184415
1.34414,103.82569,"[3337829974, 5157714398]",2.922399
1.3442,103.82544,"[3337829977, 5157714399]",2.432492
1.34416,103.82442,"[3337829976, 5157715627]",0.331704
1.34412,103.82422,"[3337829973, 3337829976]",0.595965
1.34403,103.82405,"[3337829970, 3337829971]",1.387494
1.34389,103.82388,"[3337829965, 3337829970]",2.6833
1.3437,103.82373,"[3337829950, 3337829959]",2.982383
1.34339,103.82361,"[3337829940, 3337829950]",3.90493
1.34324,103.82358,"[3337829930, 3337829940]",4.757186
1.34308,103.82358,"[215366946, 10605937955]",4.901801
1.34304,103.82352,"[5157714402, 5157714401]",1.265812
1.34304,103.82348,"[3337829911, 5157714403]",4.058891
1.3431,103.82342,"[5157714400, 3337829924]",2.642902
1.3432,103.82338,"[10605937953, 661041643]",1.592993
1.34342,103.82333,"[661041643, 3337829946]",3.658132
1.34361,103.82326,"[3337829946, 1125526128]",4.134766
1.3437,103.82319,"[3337829955, 3337829958]",2.129372
1.34378,103.82309,"[3337829958, 3337829961]",3.269842
1.34385,103.82287,"[3337829961, 3337829966]",2.364214
1.34387,103.82265,"[3337829966, 3337829963]",2.211357
1.34385,103.82235,"[3337829963, 439978380]",1.111265
1.34381,103.82211,"[439978380, 3337829957]",0.221136
1.34352,103.82103,"[3337829947, 3337829944]",3.254393
1.34339,103.82064,"[3337829944, 215366743]",1.19193
1.34332,103.82049,"[3337829944, 215366743]",0.247562
1.34315,103.82027,"[215366743, 3337829935]",4.732438
1.34291,103.8201,"[215366707, 3337829906]",4.432314
1.34269,103.82004,"[3337829906, 215366663]",1.673025
1.34259,103.82003,"[215366663, 439978385]",0.676839
1.34246,103.82005,"[439978385, 1628371946]",1.161292
1.3423,103.82012,"[1628371946, 3337829895]",0.64782
1.34219,103.82022,"[3337829895, 1125526669]",0.710807
1.34196,103.82043,"[1125526669, 1125374883]",1.491901
1.34193,103.82047,"[1125526669, 1125374883]",0.784394
