Tag,Count
"('surface', 'asphalt')",5259
"('oneway', 'yes')",4192
"('highway', 'footway')",2932
"('lanes', '2')",2185
"('maxspeed', '50')",1959
"('highway', 'primary')",1569
"('highway', 'residential')",1329
"('maxspeed', '60')",1231
"('lanes', '3')",1216
"('maxspeed', '40')",1074
"('lanes:backward', '1')",1058
"('lanes:forward', '1')",1047
"('lanes', '1')",1010
"('highway', 'secondary')",891
"('source', 'Yahoo aerial images')",818
"('sidewalk', 'left')",779
"('lit', 'yes')",713
"('footway', 'crossing')",652
"('highway', 'service')",651
"('maxspeed', '70')",593
"('highway', 'tertiary')",540
"('lanes', '4')",528
"('surface', 'concrete')",376
"('highway', 'cycleway')",358
"('bicycle', 'yes')",353
"('foot', 'yes')",343
"('foot', 'designated')",323
"('sidewalk', 'no')",319
"('bicycle', 'designated')",306
"('footway', 'sidewalk')",290
"('busway:left', 'lane')",287
"('lanes:bus', '1')",285
"('sidewalk', 'both')",284
"('covered', 'yes')",275
"('highway', 'primary_link')",268
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",246
"('maxheight', '4.5')",245
"('layer', '1')",219
"('name', 'Yishun Ring Road')",217
"('source', 'GPS & Yahoo aerial images')",209
"('bridge', 'yes')",204
"('smoothness', 'excellent')",190
"('service', 'driveway')",159
"('highway', 'unclassified')",158
"('motor_vehicle', 'no')",150
"('note', 'Part of it estimated ???')",146
"('oneway', 'no')",145
"('highway', 'steps')",145
"('name:zh', '文礼大道')",141
"('name', 'Boon Lay Way')",141
"('name', 'Old Upper Thomson Road')",139
"('turn:lanes:backward', 'through')",139
"('turn:lanes', 'through|through')",138
"('turn:lanes', 'through|through|through')",137
"('turn:lanes:forward', 'through')",134
"('lanes', '5')",134
"('turn:lanes', 'left;through|through')",133
"('segregated', 'no')",131
"('service', 'parking_aisle')",130
"('foot', 'no')",123
"('horse', 'no')",115
"('width', '3')",111
"('access', 'permissive')",108
"('highway', 'construction')",107
"('sidewalk:left', 'separate')",105
"('surface', 'metal')",102
"('name', 'Mandai Road')",102
"('name', 'Pioneer Road North')",102
"('surface', 'paved')",102
"('name:zh', '乌鲁班丹公园连道')",100
"('surface', 'fine_gravel')",98
"('name', 'Forest Walk')",97
"('name:zh', '森林步道')",97
"('name:zh', '万礼路')",96
"('turn:lanes', 'through')",93
"('sidewalk:right', 'no')",93
"('name:zh', '先驱北路')",91
"('sidewalk', 'separate')",91
"('name', 'Kent Ridge Crescent')",90
"('name:zh', '肯特岗弯')",90
"('turn:lanes', 'through|through|through|right')",86
"('name:zh', '实龙岗路上段')",86
"('name', 'Upper Serangoon Road')",86
"('name:zh', '南洋通道')",85
"('name', 'Nanyang Drive')",85
"('access', 'yes')",84
"('surface', 'paving_stones')",84
"('turn:lanes', 'left;through|through|through')",84
"('sidewalk', 'right')",82
"('name', 'Pasir Panjang Road')",80
"('shoulder', 'no')",80
