Tag,Count
"('highway', 'footway')",3003
"('surface', 'asphalt')",2699
"('highway', 'residential')",1564
"('lanes', '2')",1463
"('lanes:backward', '1')",1190
"('lanes:forward', '1')",1185
"('oneway', 'yes')",1017
"('maxspeed', '50')",896
"('maxspeed', '40')",854
"('highway', 'service')",698
"('lit', 'yes')",655
"('foot', 'yes')",633
"('highway', 'steps')",621
"('bicycle', 'yes')",586
"('surface', 'concrete')",580
"('lanes', '1')",470
"('sidewalk', 'left')",391
"('sidewalk', 'both')",318
"('surface', 'paved')",264
"('covered', 'yes')",238
"('surface', 'paving_stones')",234
"('footway', 'sidewalk')",226
"('incline', 'down')",209
"('maxspeed', '60')",202
"('oneway', 'no')",194
"('highway', 'primary')",184
"('access', 'private')",178
"('layer', '1')",178
"('lanes', '3')",176
"('footway', 'crossing')",175
"('incline', 'up')",154
"('turn:lanes:backward', 'through')",153
"('service', 'parking_aisle')",153
"('shelter', 'yes')",135
"('handrail', 'yes')",133
"('sidewalk', 'right')",128
"('smoothness', 'good')",126
"('maxheight', '4.5')",126
"('wheelchair', 'yes')",124
"('turn:lanes:forward', 'through')",124
"('source', 'GPS & Yahoo aerial images')",121
"('service', 'driveway')",119
"('highway', 'path')",114
"('highway', 'pedestrian')",110
"('highway', 'tertiary')",109
"('bridge', 'yes')",108
"('area', 'yes')",98
"('motor_vehicle', 'no')",97
"('foot', 'designated')",97
"('name:zh', '肯特岗弯')",92
"('name', 'Kent Ridge Crescent')",92
"('name:zh', '必比士路')",90
"('name', 'Pepys Road')",90
"('name', 'Medical Drive')",85
"('name:zh', '医学通道')",85
"('highway', 'unclassified')",85
"('highway', 'cycleway')",85
"('landuse', 'grass')",84
"('foot', 'no')",83
"('name', 'Lower Kent Ridge Road')",83
"('name:zh', '肯特岗路下段')",83
"('bicycle', 'no')",81
"('ramp', 'no')",79
"('motor_vehicle', 'private')",77
"('highway', 'living_street')",76
"('name', 'South Buona Vista Road')",74
"('name:zh', '南波那维斯达路')",74
"('highway', 'secondary')",72
"('name', 'Kent Ridge Road')",71
"('name:zh', '肯特岗路')",71
"('source', 'Bing')",68
"('surface', 'wood')",67
"('bicycle', 'designated')",67
"('turn:lanes', 'through')",66
"('psv', 'yes')",66
