Tag,Count
"('highway', 'footway')",3303
"('surface', 'asphalt')",3181
"('lanes', '2')",1625
"('oneway', 'yes')",1475
"('highway', 'residential')",1468
"('lanes:forward', '1')",1269
"('lanes:backward', '1')",1248
"('maxspeed', '50')",1147
"('lit', 'no')",978
"('highway', 'service')",959
"('lit', 'yes')",932
"('foot', 'yes')",856
"('surface', 'concrete')",832
"('maxspeed', '40')",812
"('sac_scale', 'hiking')",801
"('bicycle', 'no')",628
"('sidewalk', 'left')",620
"('highway', 'steps')",566
"('surface', 'dirt')",564
"('smoothness', 'good')",534
"('lanes', '1')",515
"('width', '1')",436
"('oneway', 'no')",407
"('footway', 'crossing')",382
"('highway', 'primary')",381
"('access', 'private')",377
"('highway', 'cycleway')",376
"('maxspeed', '60')",355
"('bicycle', 'yes')",333
"('highway', 'path')",298
"('foot', 'designated')",275
"('lanes', '3')",260
"('segregated', 'no')",252
"('bicycle', 'designated')",249
"('source', 'Yahoo aerial images')",214
"('incline', 'down')",212
"('covered', 'yes')",208
"('highway', 'secondary')",208
"('name:zh', '乌鲁班丹公园连道')",203
"('layer', '1')",202
"('footway', 'sidewalk')",202
"('name', 'Ulu Pandan Park Connector')",200
"('handrail', 'yes')",187
"('bridge', 'yes')",183
"('service', 'driveway')",180
"('ramp', 'no')",178
"('sidewalk', 'both')",174
"('surface', 'paved')",173
"('lanes', '4')",168
"('width', '3')",165
"('name', 'MacRitchie Nature Trail')",157
"('incline', 'up')",152
"('source', 'GPS & Yahoo aerial images')",150
"('name:zh', '主路')",149
"('name', 'Main Road')",149
"('sidewalk', 'right')",142
"('trail_visibility', 'excellent')",142
"('name:zh', '麦里芝自然小径')",140
"('surface', 'paving_stones')",132
"('wheelchair', 'no')",125
"('highway', 'tertiary')",122
"('name', 'Rifle Range Road')",118
"('name:zh', '射靶场')",117
"('highway', 'unclassified')",111
"('smoothness', 'excellent')",111
"('width', '2')",109
"('name', 'Pasir Panjang Road')",106
"('name:zh', '巴西班让路')",106
"('turn:lanes:forward', 'through')",104
"('maxheight', '4.5')",91
"('turn:lanes:backward', 'through')",90
"('service', 'parking_aisle')",90
"('maxspeed', '15')",88
"('name', 'Olive Road')",88
"('name:zh', '立达路下段')",87
"('name', 'Lower Delta Road')",87
"('smoothness', 'very_bad')",86
"('foot', 'no')",86
"('maxspeed', '70')",84
"('name', 'Mount Faber Road')",82
"('name:zh', '花柏山路')",82
"('covered', 'no')",79
"('turn:lanes:forward', 'left;right')",77
"('surface', 'ground')",77
"('name:zh', '南波那维斯达路')",76
"('name', 'South Buona Vista Road')",76
"('name:zh', '那森路')",74
"('name', 'Nassim Road')",74
"('name:en', 'Nassim Road')",74
"('3dr:type', 'Mount Faber Road')",74
"('sidewalk', 'no')",73
"('name:zh', '洞穴小径')",73
"('name', 'Cave Path')",73
"('busway:left', 'lane')",71
"('surface', 'gravel')",70
"('surface', 'unpaved')",70
"('name:zh', '西海岸路')",69
"('lanes:bus', '1')",69
"('name:zh', '肯特岗弯')",69
"('name', 'Kent Ridge Crescent')",69
"('name', 'West Coast Road')",69
"('name:zh', '射靶连接小径')",68
"('name', 'Rifle Range Link')",68
"('cutting', 'no')",68
"('highway', 'primary_link')",68
"('sidewalk:left', 'separate')",68
"('name', 'Taban Loop')",67
"('turn:lanes', 'through')",67
"('name', 'Dairy Farm Nature Park')",66
"('lanes:backward', '2')",66
"('name:zh', '德普路')",66
"('name:zh', '牛乳场自然公园')",66
"('name', 'Depot Road')",66
"('surface:note', 'very worn out tarmac')",66
"('turn:lanes:backward', 'left;right')",64
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",64
"('sidewalk:right', 'no')",63
"('highway', 'living_street')",62
"('motor_vehicle', 'private')",62
"('name:zh', '科学园通道')",61
"('smoothness', 'intermediate')",61
"('name', 'Science Park Drive')",61
"('name', 'Vigilante Drive')",60
"('name:zh', '维安通道')",60
"('name', 'Namly Avenue')",58
"('name', 'Reneges Path')",58
"('name', 'Catchment Path')",57
"('lanes:forward', '2')",57
"('tactile_paving', 'no')",54
"('name', 'South View Path')",52
"('motor_vehicle', 'no')",50
"('maxspeed:type', 'sign')",49
"('name', 'Clementi Road')",48
"('name:zh', '金文泰路')",48
"('highway', 'motorway_link')",46
"('name:zh', '必比士路')",46
"('name', 'Swiss Club Road')",46
"('name', 'Pepys Road')",46
"('turn:lanes', 'through|through')",45
"('turn:lanes:backward', 'left')",45
"('name', 'Marang Trail')",45
"('name:zh', '玛朗小径')",45
"('area', 'yes')",45
"('highway', 'pedestrian')",45
"('name', 'Jungle Fall Path')",45
"('bicycle', 'dismount')",44
"('sidewalk', 'separate')",44
"('name', 'Lorong Sesuai')",44
"('highway', 'trunk')",44
"('name:zh', '格兰芝路')",43
"('name', 'Grange Road')",43
"('name', 'Kheam Hock Road')",43
"('handrail', 'no')",41
"('name:zh', '谦福路')",41
"('smoothness', 'bad')",40
"('access', 'no')",40
"('name', 'Holland Road')",39
"('name:zh', '荷兰路')",39
"('name:zh', '惹兰甘榜彰德')",39
"('name:zh', '登峰走道')",39
"('name', 'Summit Path')",39
"('name', 'Jalan Kampong Chantek')",39
"('lanes', '5')",38
"('bicycle', 'permissive')",38
"('access', 'permissive')",38
"('width', '7.5')",37
"('motorcar', 'no')",37
"('cycleway:both', 'no')",36
"('name', 'Lengkok Bahru')",35
"('highway', 'track')",35
"('name', 'Terentang Trail')",35
"('name:zh', '肯特岗通道')",35
"('name', 'Kent Ridge Drive')",35
"('name:zh', 'Terentang 小径')",35
"('tunnel', 'no')",34
"('name', 'Telok Blangah Rise')",34
"('tracktype', 'grade3')",34
"('turn:lanes', 'through|through|through')",34
"('access', 'yes')",34
"('foot', 'permissive')",33
"('name:zh', '罗弄西素艾')",33
"('name:zh', '第六道')",33
"('name', 'Sixth Avenue')",33
"('name:zh', '花柏山环道')",33
"('name', 'Mount Faber Loop')",33
"('name', 'Sime Track')",31
"('name:zh', '森小径')",31
"('note', 'Part of it estimated ???')",31
"('turn:lanes:forward', 'left;through')",31
"('turn:lanes', 'through|through;right')",30
"('amenity', 'parking')",29
"('name:zh', '肯特岗路')",29
"('name:zh', '越岛连道')",29
"('name', 'Kent Ridge Road')",29
"('name', 'Coast-to-Coast Trail')",28
"('name', 'Jalan Asas')",28
"('noname', 'yes')",28
"('sidewalk', 'none')",28
"('turn:lanes:backward', 'left;through')",28
"('turn:lanes', 'through|through|through|right')",27
"('name', 'Wallace Trail')",27
"('turn:lanes:forward', 'left')",26
"('source', 'GPS')",25
"('name', 'Upper Bukit Timah Road')",25
"('alt_name', 'Coast-to-Coast Trail')",24
"('name:zh', '罗尼公园连道')",24
"('maxspeed', '25')",24
"('name:zh', '乌节宝龙坊')",24
"('name', 'Lornie Park Connector')",24
"('name:zh', '武吉知马路上段')",24
"('name', 'Orchard Promenade')",24
"('turn:lanes', 'left')",23
"('turn:lanes:backward', 'left;through;right')",23
"('vehicle', 'no')",22
"('maxheight', '4')",22
"('name', 'Telok Blangah Road')",22
