Tag,Count
"('highway', 'footway')",3019
"('surface', 'asphalt')",2603
"('foot', 'yes')",1617
"('lanes', '2')",1319
"('highway', 'residential')",1302
"('lit', 'no')",1214
"('sac_scale', 'hiking')",1197
"('lanes:backward', '1')",1180
"('lanes:forward', '1')",1177
"('bicycle', 'no')",945
"('surface', 'dirt')",875
"('maxspeed', '50')",872
"('highway', 'service')",850
"('oneway', 'yes')",759
"('highway', 'steps')",732
"('bicycle', 'yes')",715
"('width', '1')",658
"('maxspeed', '40')",646
"('lit', 'yes')",570
"('surface', 'concrete')",570
"('highway', 'cycleway')",548
"('segregated', 'no')",457
"('highway', 'path')",446
"('smoothness', 'good')",434
"('access', 'private')",388
"('oneway', 'no')",374
"('lanes', '1')",348
"('incline', 'down')",312
"('trail_visibility', 'excellent')",297
"('sidewalk', 'left')",286
"('surface', 'gravel')",262
"('handrail', 'yes')",253
"('sidewalk', 'both')",239
"('ramp', 'no')",231
"('incline', 'up')",228
"('surface', 'paving_stones')",227
"('source', 'Yahoo aerial images')",226
"('covered', 'yes')",221
"('footway', 'sidewalk')",209
"('layer', '1')",202
"('horse', 'no')",196
"('trail_visibility', 'good')",177
"('bridge', 'yes')",176
"('width', '2')",171
"('name:zh', '中央集水区公园连道')",166
"('name', 'Central Catchment Park Connector')",166
"('foot', 'designated')",162
"('name', 'MacRitchie Nature Trail')",155
"('highway', 'tertiary')",153
"('width', '3')",152
"('lanes', '3')",148
"('name:zh', '主路')",147
"('name', 'Main Road')",147
"('smoothness', 'excellent')",145
"('highway', 'unclassified')",144
"('name:zh', '麦里芝自然小径')",142
"('name:zh', '策士纳自然公园 南步行小径')",137
"('name', 'Munia Trail, Chestnut Nature Park South Hiking Trail')",137
"('description', '2km, moderate difficulty, 40 min, yellow signage')",137
"('surface', 'paved')",136
"('smoothness', 'bad')",131
"('bicycle', 'designated')",131
"('service', 'parking_aisle')",123
"('name', 'Rifle Range Road')",119
"('name:zh', '射靶场')",118
"('maxspeed', '60')",115
"('wheelchair', 'no')",110
"('name', 'Wallace Trail')",107
"('maxspeed', '70')",105
"('motor_vehicle', 'no')",101
"('access', 'yes')",100
"('source', 'GPS & Yahoo aerial images')",97
"('footway', 'crossing')",97
"('sidewalk', 'no')",96
"('turn:lanes:backward', 'through')",96
"('tactile_paving', 'no')",94
"('motor_vehicle', 'private')",92
"('turn:lanes:forward', 'through')",91
"('surface', 'unpaved')",91
"('highway', 'track')",90
"('name', 'Hillcrest Road')",89
"('name', 'Rail Corridor')",86
"('maxspeed:bicycle:official', '10')",86
"('maxspeed:bicycle:advisory', '10')",86
"('turn:lanes:backward', 'left;right')",86
"('highway', 'trunk')",86
"('name:zh', '铁道走廊')",86
"('smoothness', 'very_bad')",83
"('surface', 'ground')",80
"('name', 'Mount Faber Road')",80
"('name:zh', '花柏山路')",80
"('access', 'no')",80
