Tag,Count
"('surface', 'asphalt')",2970
"('highway', 'footway')",2741
"('lanes', '2')",1829
"('highway', 'residential')",1664
"('lanes:forward', '1')",1446
"('lanes:backward', '1')",1443
"('maxspeed', '40')",1079
"('oneway', 'yes')",1076
"('maxspeed', '50')",1019
"('highway', 'service')",664
"('lit', 'yes')",621
"('foot', 'yes')",600
"('surface', 'concrete')",453
"('sidewalk', 'both')",450
"('sidewalk', 'left')",449
"('bicycle', 'yes')",443
"('highway', 'steps')",431
"('lanes', '1')",374
"('highway', 'cycleway')",369
"('foot', 'designated')",277
"('smoothness', 'good')",266
"('footway', 'crossing')",252
"('maxspeed', '60')",248
"('covered', 'yes')",244
"('source', 'Yahoo aerial images')",239
"('motor_vehicle', 'no')",232
"('highway', 'tertiary')",224
"('bicycle', 'designated')",219
"('lanes', '3')",212
"('access', 'private')",201
"('segregated', 'no')",199
"('layer', '1')",191
"('sidewalk', 'right')",186
"('highway', 'primary')",177
"('oneway', 'no')",173
"('incline', 'down')",164
"('bridge', 'yes')",160
"('footway', 'sidewalk')",157
"('highway', 'secondary')",154
"('handrail', 'yes')",133
"('bicycle', 'no')",126
"('name', 'Watten Estate Road')",114
"('surface', 'concrete:plates')",111
"('surface', 'paving_stones')",109
"('width', '3')",106
"('turn:lanes:backward', 'through')",106
"('busway:left', 'lane')",105
"('smoothness', 'bad')",104
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",102
"('lanes:bus', '1')",102
"('turn:lanes:forward', 'through')",99
"('width', '2')",99
"('lit', 'no')",98
"('access', 'permissive')",97
"('access', 'yes')",97
"('incline', 'up')",95
"('highway', 'unclassified')",94
"('ramp', 'no')",91
"('sidewalk', 'no')",90
"('service', 'driveway')",88
"('service', 'parking_aisle')",87
"('surface', 'paved')",87
"('highway', 'path')",86
"('name:zh', '必比士路')",84
"('name', 'Pepys Road')",84
"('smoothness', 'excellent')",82
"('name', 'Rifle Range Road')",80
"('name:zh', '射靶场')",79
"('surface', 'fine_gravel')",77
"('lanes', '4')",77
"('maxheight', '4.5')",76
"('maxspeed:type', 'sign')",76
"('name', 'Bukit Panjang / Zheng Hua Park Connector')",76
"('name:zh', '武吉班让/正华 公园连道')",76
"('name:zh', '乌鲁班丹公园连道')",75
"('highway', 'living_street')",72
"('surface', 'dirt')",67
"('wheelchair', 'yes')",67
