Tag,Count
"('surface', 'asphalt')",2919
"('highway', 'footway')",2066
"('oneway', 'yes')",1605
"('lit', 'no')",1291
"('foot', 'yes')",1230
"('sac_scale', 'hiking')",1133
"('maxspeed', '50')",1010
"('lanes', '2')",967
"('highway', 'primary')",909
"('bicycle', 'no')",884
"('highway', 'service')",803
"('surface', 'dirt')",790
"('highway', 'cycleway')",721
"('lanes:backward', '1')",708
"('lanes:forward', '1')",703
"('lit', 'yes')",695
"('lanes', '3')",658
"('bicycle', 'yes')",631
"('maxspeed', '60')",606
"('highway', 'residential')",605
"('segregated', 'no')",547
"('smoothness', 'good')",535
"('oneway', 'no')",493
"('width', '1')",482
"('highway', 'path')",449
"('access', 'private')",351
"('sidewalk', 'left')",335
"('highway', 'steps')",325
"('surface', 'concrete')",325
"('bicycle', 'designated')",309
"('foot', 'designated')",302
"('source', 'Yahoo aerial images')",301
"('lanes', '1')",298
"('maxspeed', '70')",294
"('sidewalk', 'no')",290
"('width', '3')",283
"('name:zh', '主路')",281
"('name', 'Main Road')",281
"('surface', 'gravel')",277
"('maxspeed', '40')",227
"('smoothness', 'excellent')",227
"('trail_visibility', 'excellent')",226
"('busway:left', 'lane')",221
"('smoothness', 'bad')",220
"('footway', 'crossing')",217
"('highway', 'unclassified')",210
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",209
"('lanes:bus', '1')",209
"('highway', 'secondary')",208
"('trail_visibility', 'good')",203
"('name:zh', '中央集水区公园连道')",190
"('name', 'Central Catchment Park Connector')",190
"('lanes', '4')",176
"('name', 'Yio Chu Kang Road')",173
"('name:zh', '杨厝港路')",164
"('access', 'yes')",160
"('name', 'MacRitchie Nature Trail')",154
"('name:zh', '射靶场')",151
"('name', 'Rifle Range Road')",151
"('layer', '1')",149
"('sidewalk:left', 'separate')",145
"('sidewalk:right', 'no')",141
"('incline', 'down')",141
"('name', 'Catchment Path')",139
"('name:zh', '麦里芝自然小径')",139
"('name', 'Mandai Road')",139
"('source', 'GPS & Yahoo aerial images')",135
"('covered', 'yes')",130
"('bridge', 'yes')",126
"('name', 'Sembawang Road')",121
"('smoothness', 'intermediate')",115
"('name:zh', '实龙岗路上段')",109
"('name', 'Upper Serangoon Road')",109
"('sidewalk', 'both')",108
"('highway', 'primary_link')",107
"('width', '2')",101
"('incline', 'up')",100
"('motor_vehicle', 'no')",98
"('surface', 'paved')",98
"('name:zh', '三巴旺路')",94
"('name', 'Venus Loop')",92
"('highway', 'track')",90
"('surface', 'ground')",88
"('name:zh', '义顺2道')",88
"('name', 'Yishun Avenue 2')",88
"('name:zh', '加冷公园连道')",87
"('name', 'Kallang Park Connector')",87
"('name:zh', '万礼路')",87
"('turn:lanes', 'through|through|through')",86
"('smoothness', 'very_bad')",86
"('turn:lanes', 'left;through|through|through')",84
"('foot', 'no')",83
"('name', 'Ang Mo Kio Avenue 8')",77
"('name:zh', '宏茂桥8道')",77
"('name', 'Cave Path')",76
"('name:zh', '洞穴小径')",76
"('lanes', '5')",75
"('name', 'Summit Path')",72
"('name:zh', '登峰走道')",72
"('width', '3 m')",71
"('name', 'Old Upper Thomson Road Park Connector')",71
"('name:zh', '旧汤申鲁上段公园连道')",71
"('name', 'Ang Mo Kio Avenue 6')",68
"('name:zh', '宏茂桥6道')",68
"('name:zh', '射靶连接小径')",67
"('name', 'Rifle Range Link')",67
"('handrail', 'yes')",66
"('wheelchair', 'no')",66
"('turn:lanes:backward', 'left')",65
"('surface', 'unpaved')",64
"('name', 'Taban Loop')",63
"('service', 'parking_aisle')",63
"('source', 'survey')",62
"('note', 'Between Tanjong Pagar & Woodlands. Closed 1 July 2011, track removed by Sept 2011')",62
"('name', 'Canberra Road')",62
"('ramp', 'no')",62
"('surface', 'wood')",61
"('railway', 'abandoned')",60
"('name', 'Upper Thomson Road')",60
"('maxspeed:bicycle:advisory', '10')",60
"('name', 'Rail Corridor')",60
"('name:ms', 'Koridor Kereta Api')",60
"('name:zh', '铁道走廊')",60
"('maxspeed:bicycle:official', '10')",60
