Tag,Count
"('sac_scale', 'hiking')",3888
"('lit', 'no')",3694
"('bicycle', 'no')",3235
"('highway', 'footway')",3155
"('surface', 'dirt')",2768
"('width', '1')",2164
"('foot', 'yes')",2002
"('surface', 'asphalt')",1265
"('highway', 'steps')",1251
"('name', 'Dairy Farm Loop')",894
"('highway', 'path')",819
"('highway', 'service')",709
"('name:zh', '牛乳场环道')",659
"('oneway', 'no')",622
"('note', 'Temporarily closed due to landslide')",619
"('surface', 'concrete')",602
"('trail_visibility', 'excellent')",597
"('incline', 'down')",581
"('smoothness', 'good')",575
"('width', '2')",560
"('bicycle', 'yes')",527
"('access', 'private')",521
"('lanes', '2')",510
"('incline', 'up')",510
"('segregated', 'no')",510
"('lanes:forward', '1')",484
"('lanes:backward', '1')",482
"('highway', 'cycleway')",478
"('width', '3')",464
"('name', 'Main Road')",456
"('name:zh', '主路')",456
"('surface', 'gravel')",448
"('smoothness', 'bad')",383
"('surface', 'ground')",380
"('ramp', 'no')",359
"('wheelchair', 'no')",342
"('highway', 'residential')",341
"('trail_visibility', 'good')",337
"('name:zh', '中央集水区公园连道')",319
"('name', 'Central Catchment Park Connector')",319
"('horse', 'no')",316
"('lit', 'yes')",304
"('name', 'Cave Path')",276
"('name:zh', '洞穴小径')",276
"('handrail', 'yes')",272
"('name:zh', '策士纳自然公园 南步行小径')",270
"('description', '2km, moderate difficulty, 40 min, yellow signage')",270
"('name', 'Munia Trail, Chestnut Nature Park South Hiking Trail')",270
"('maxspeed', '40')",267
"('maxspeed', '50')",256
"('name', 'Taban Loop')",254
"('surface', 'metal')",237
"('note', 'Lots of stairs climbing...')",235
"('name', 'Catchment Path')",204
"('name', 'South View Path')",204
"('layer', '1')",196
"('bridge', 'yes')",186
"('oneway', 'yes')",185
"('name', 'North View Path')",185
"('highway', 'unclassified')",183
"('name', 'Jungle Fall Path')",169
"('name', 'MacRitchie Nature Trail')",168
"('foot', 'designated')",168
"('name:zh', '麦里芝自然小径')",149
