Tag,Count
"('surface', 'asphalt')",8599
"('highway', 'footway')",8449
"('oneway', 'yes')",4964
"('lanes', '2')",3725
"('maxspeed', '50')",3047
"('highway', 'residential')",2652
"('lanes:backward', '1')",2486
"('lanes:forward', '1')",2469
"('highway', 'cycleway')",2094
"('foot', 'yes')",1989
"('lit', 'yes')",1965
"('highway', 'service')",1842
"('bicycle', 'yes')",1708
"('maxspeed', '60')",1491
"('maxspeed', '40')",1490
"('lanes', '3')",1470
"('lanes', '1')",1456
"('surface', 'concrete')",1392
"('highway', 'primary')",1382
"('foot', 'designated')",1345
"('footway', 'crossing')",1313
"('bicycle', 'designated')",1292
"('source', 'Yahoo aerial images')",1252
"('highway', 'secondary')",1076
"('segregated', 'no')",927
"('highway', 'steps')",874
"('sidewalk', 'left')",853
"('highway', 'tertiary')",672
"('lit', 'no')",661
"('bicycle', 'no')",588
"('layer', '1')",578
"('covered', 'yes')",562
"('footway', 'sidewalk')",535
"('bridge', 'yes')",526
"('surface', 'dirt')",522
"('maxspeed', '70')",500
"('surface', 'paved')",495
"('motor_vehicle', 'no')",484
"('leisure', 'park_connector')",468
"('smoothness', 'good')",459
"('sac_scale', 'hiking')",448
"('oneway', 'no')",446
"('access', 'yes')",426
"('sidewalk', 'both')",425
"('lanes', '4')",424
"('sidewalk', 'no')",402
"('smoothness', 'excellent')",400
"('width', '2')",353
"('service', 'parking_aisle')",350
"('service', 'driveway')",333
"('access', 'private')",306
"('highway', 'primary_link')",289
"('turn:lanes:backward', 'through')",288
"('surface', 'paving_stones')",267
"('turn:lanes:forward', 'through')",259
"('incline', 'down')",253
"('width', '1')",242
"('lanes:bus', '1')",237
"('busway:left', 'lane')",237
"('maxheight', '4.5')",235
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",233
"('source', 'GPS')",230
"('sidewalk', 'right')",226
"('highway', 'path')",215
"('highway', 'unclassified')",213
"('handrail', 'yes')",213
"('horse', 'no')",208
"('sidewalk:left', 'separate')",193
"('access', 'no')",188
"('ramp', 'no')",184
"('incline', 'up')",178
"('sidewalk:right', 'no')",175
"('segregated', 'yes')",155
"('source', 'Bing')",153
"('turn:lanes', 'through')",139
"('source', 'GPS & Yahoo aerial images')",139
"('footway', 'yes')",137
"('note', 'Part of it estimated ???')",135
"('turn:lanes', 'left;through|through')",135
"('turn:lanes:backward', 'left')",135
"('lanes', '5')",133
"('turn:lanes', 'through|through')",127
"('highway', 'secondary_link')",125
"('wheelchair', 'yes')",123
"('bicycle', 'dismount')",122
"('turn:lanes', 'through|through|through|right')",122
"('turn:lanes:forward', 'left;right')",122
"('foot', 'no')",120
"('turn:lanes:backward', 'left;right')",113
"('turn:lanes:backward', 'left;through')",112
"('turn:lanes:forward', 'left;through')",112
"('cycleway', 'no')",111
"('turn:lanes', 'through|through|through')",109
"('name:zh', '乌鲁班丹公园连道')",109
"('name', 'Ulu Pandan Park Connector')",109
"('surface', 'wood')",108
"('name', 'Nanyang Avenue')",107
"('name:zh', '南洋道')",107
"('name', 'Old Choa Chu Kang Road')",106
"('turn:lanes:forward', 'through;right')",106
"('name', 'Pang Sua Park Connector')",105
"('name:zh', '盘沙公园连道')",105
