Tag,Count
"('surface', 'asphalt')",4895
"('oneway', 'yes')",4420
"('highway', 'footway')",2794
"('lanes', '2')",1948
"('highway', 'primary')",1905
"('maxspeed', '60')",1864
"('maxspeed', '50')",1733
"('source', 'Yahoo aerial images')",1446
"('lanes', '3')",1255
"('highway', 'secondary')",979
"('footway', 'crossing')",761
"('lanes', '1')",737
"('highway', 'residential')",718
"('sidewalk', 'left')",665
"('maxspeed', '70')",597
"('lit', 'yes')",597
"('lanes', '4')",555
"('highway', 'tertiary')",551
"('lanes:backward', '1')",516
"('lanes:forward', '1')",514
"('highway', 'service')",505
"('maxspeed', '40')",491
"('surface', 'concrete')",442
"('busway:left', 'lane')",394
"('sidewalk:right', 'no')",372
"('sidewalk:left', 'separate')",372
"('lanes:bus', '1')",372
"('highway', 'cycleway')",369
"('foot', 'yes')",342
"('highway', 'primary_link')",325
"('lanes:bus:conditional', '1 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",313
"('bicycle', 'yes')",272
"('covered', 'yes')",268
"('maxheight', '4.5')",262
"('source', 'GPS & Yahoo aerial images')",234
"('sidewalk', 'no')",233
"('foot', 'designated')",210
"('bicycle', 'designated')",206
"('lanes', '5')",195
"('note', 'Part of it estimated ???')",190
"('highway', 'steps')",171
"('sidewalk', 'both')",168
"('turn:lanes', 'left;through|through')",167
"('turn:lanes', 'through|through|right')",165
"('turn:lanes', 'through|through')",163
"('name', 'Upper Thomson Road')",159
"('name:zh', '汤申路上段')",158
"('footway', 'sidewalk')",149
"('name', 'Yio Chu Kang Road')",148
"('layer', '1')",147
"('name:zh', '杨厝港路')",141
"('name', 'Boon Lay Way')",127
"('name:zh', '文礼大道')",126
"('bridge', 'yes')",125
"('foot', 'no')",120
"('segregated', 'no')",116
"('turn:lanes', 'through|through|through')",113
"('sidewalk', 'separate')",112
"('turn:lanes:forward', 'through')",108
"('service', 'driveway')",106
"('smoothness', 'good')",105
"('shoulder', 'no')",97
"('service', 'parking_aisle')",94
"('access', 'yes')",92
"('surface', 'paving_stones')",91
"('name', 'Upper Paya Lebar Road')",89
