Tag,Count
"('highway', 'footway')",2218
"('lit', 'no')",1799
"('surface', 'asphalt')",1650
"('foot', 'yes')",1400
"('bicycle', 'no')",1253
"('sac_scale', 'hiking')",1135
"('surface', 'dirt')",995
"('lanes', '2')",990
"('lanes:backward', '1')",869
"('lanes:forward', '1')",868
"('highway', 'residential')",836
"('maxspeed', '50')",733
"('width', '1')",687
"('highway', 'path')",643
"('highway', 'service')",519
"('bicycle', 'yes')",494
"('surface', 'concrete')",446
"('lit', 'yes')",431
"('highway', 'steps')",423
"('smoothness', 'good')",414
"('trail_visibility', 'excellent')",389
"('oneway', 'yes')",367
"('width', '2')",359
"('maxspeed', '40')",339
"('surface', 'ground')",317
"('oneway', 'no')",307
"('highway', 'cycleway')",246
"('segregated', 'no')",245
"('bridge', 'boardwalk')",221
"('sidewalk', 'both')",214
"('access', 'private')",205
"('highway', 'unclassified')",200
"('surface', 'wood')",198
"('layer', '1')",183
"('name', 'Rifle Range Road')",183
"('name:zh', '射靶场')",182
"('incline', 'down')",176
"('name', 'MacRitchie Nature Trail')",174
"('horse', 'no')",161
"('name:zh', '麦里芝自然小径')",154
"('wheelchair', 'no')",144
"('incline', 'up')",144
"('ramp', 'no')",142
"('sidewalk', 'left')",139
"('name:zh', '策士纳自然公园 南步行小径')",135
"('name', 'Munia Trail, Chestnut Nature Park South Hiking Trail')",135
"('description', '2km, moderate difficulty, 40 min, yellow signage')",135
"('sidewalk', 'no')",132
"('surface', 'gravel')",130
"('width', '3')",129
"('name:zh', '主路')",127
"('name', 'Main Road')",127
"('sidewalk', 'right')",121
"('smoothness', 'bad')",120
"('smoothness', 'intermediate')",116
"('name', 'Chemperai Trail')",115
"('name:zh', 'Chemperai 小径')",109
"('name', 'Wallace Trail')",109
"('cycleway:both', 'no')",106
"('lanes', '1')",105
"('foot', 'designated')",104
"('smoothness', 'very_bad')",103
"('surface', 'paving_stones')",102
"('handrail', 'yes')",101
"('surface', 'sett')",97
"('access', 'yes')",89
"('name', 'Venus Loop')",88
"('name', 'Shelford Road')",88
"('access', 'no')",87
"('source', 'Yahoo aerial images')",86
"('highway', 'track')",86
"('highway', 'trunk')",85
"('motor_vehicle', 'no')",80
