lat,lon,ways,tags
1.27051,103.82506,"[747178750, 759804379]","[{'footway': 'sidewalk', 'highway': 'footway'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.27063,103.82494,[759804379],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.27072,103.82487,[759804379],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.27085,103.82482,[759804379],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.27096,103.82481,[759804379],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.27107,103.82473,"[749321778, 759804379]","[{'highway': 'footway'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.27134,103.82454,"[749321778, 759804379]","[{'highway': 'footway'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.27144,103.82444,[749321778],[{'highway': 'footway'}]
1.2715,103.82436,[749321778],[{'highway': 'footway'}]
1.2715,103.8243,[749321778],[{'highway': 'footway'}]
1.27148,103.82422,"[465055380, 477912417, 671172072]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'right', 'turn:lanes:forward': 'left;through'}]"
1.27135,103.82409,"[465055380, 477912417, 671172072]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'right', 'turn:lanes:forward': 'left;through'}]"
1.27106,103.82385,[465055380],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.27098,103.82384,"[465055380, 1147529412]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}, {'highway': 'steps'}]"
1.27091,103.82386,[465055380],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.27085,103.8239,[465055380],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.27051,103.82429,[759804378],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.27033,103.82437,[465055380],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26997,103.82454,[759804378],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.2699,103.82456,[759804378],"[{'footway': 'sidewalk', 'highway': 'footway'}]"
1.26981,103.82455,"[447908145, 749321776, 759804378]","[{'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_4bf47_2215.jpg', 'smoothness': 'good', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'footway': 'sidewalk', 'highway': 'footway'}]"
1.26975,103.82452,"[530667453, 749321776]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}]"
1.26964,103.8244,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26957,103.82427,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26946,103.82414,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
1.26938,103.8241,[640060626],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'through'}]"
