lat,lon,ways,tags
1.26671,103.82118,"[46671395, 1167341115, 1167344635]","[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Marang Road', 'name:zh': '玛朗路', 'parking:both': 'no', 'surface': 'asphalt'}, {'highway': 'footway', 'surface': 'paved'}, {'foot': 'yes', 'highway': 'footway', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'surface': 'asphalt'}]"
1.26735,103.82124,"[188605138, 1186130436]","[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26773,103.82129,"[54139140, 188605138]","[{'foot': 'yes', 'highway': 'footway'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26787,103.82132,"[54139140, 188605138]","[{'foot': 'yes', 'highway': 'footway'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26795,103.82136,"[54139140, 188605138]","[{'foot': 'yes', 'highway': 'footway'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26802,103.82136,"[54139140, 188605138]","[{'foot': 'yes', 'highway': 'footway'}, {'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26808,103.82135,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26814,103.82128,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.26818,103.8212,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
1.2682,103.82117,[188605138],"[{'foot': 'yes', 'handrail': 'yes', 'highway': 'steps', 'incline': 'down', 'name': 'Marang Trail', 'name:zh': '玛朗小径', 'ramp': 'no', 'surface': 'asphalt', 'tactile_paving': 'no'}]"
