lat,lon,ways,tags
1.34258,103.83561,"[149899203, 159236147]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34305,103.83564,"[159236147, 395925929]","[{'highway': 'footway'}, {'highway': 'footway'}]"
1.34346,103.8356,"[149899236, 159236147, 842398483]","[{'check_date:surface': '2022-11-06', 'highway': 'footway', 'lit': 'yes', 'smoothness': 'excellent', 'surface': 'asphalt'}, {'highway': 'footway'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34352,103.83557,"[505491357, 842398483]","[{'highway': 'footway', 'surface': 'concrete'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34389,103.83533,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34414,103.83513,"[505491355, 842398483]","[{'highway': 'footway', 'surface': 'concrete'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34436,103.83494,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34444,103.83491,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34459,103.83489,"[842398480, 842398483]","[{'highway': 'service'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34476,103.83494,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34491,103.83503,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34493,103.83506,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34503,103.83523,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34515,103.83553,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34527,103.83594,[842398483],"[{'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34546,103.83637,"[474971231, 842398483]","[{'bicycle': 'no', 'highway': 'path', 'surface': 'dirt'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34556,103.83653,"[149899244, 842398482, 842398483]","[{'check_date:surface': '2023-10-29', 'highway': 'footway', 'lit': 'yes', 'smoothness': 'good', 'surface': 'paving_stones'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'wood', 'width': '1'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34568,103.83661,[149899244],"[{'check_date:surface': '2023-10-29', 'highway': 'footway', 'lit': 'yes', 'smoothness': 'good', 'surface': 'paving_stones'}]"
1.34575,103.83664,[149899244],"[{'check_date:surface': '2023-10-29', 'highway': 'footway', 'lit': 'yes', 'smoothness': 'good', 'surface': 'paving_stones'}]"
1.34578,103.83652,"[146881458, 392573691, 842398482]","[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'highway': 'footway', 'layer': '1', 'lit': 'no', 'name': 'Prunus Trail', 'name:zh': 'Prunus 小径', 'surface': 'metal', 'wheelchair': 'no'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'wood', 'width': '1'}]"
1.34587,103.83643,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34593,103.83627,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34602,103.83598,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34621,103.83564,"[146881458, 402006259]","[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}, {'bicycle': 'no', 'highway': 'path', 'surface': 'dirt'}]"
1.34639,103.83537,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34655,103.83518,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34655,103.83518,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34671,103.83501,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34694,103.83485,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34716,103.83475,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.3473,103.83459,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34755,103.83427,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34768,103.83414,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.3478,103.83401,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.3479,103.83386,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.3482,103.8335,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34839,103.83333,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34852,103.83322,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34867,103.83312,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34899,103.83294,"[146881458, 239866008, 402006256]","[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'highway': 'footway', 'layer': '1', 'lit': 'no', 'surface': 'metal', 'wheelchair': 'no'}, {'bicycle': 'no', 'highway': 'path', 'surface': 'dirt'}]"
1.34913,103.83284,"[146881458, 239866008, 402006256]","[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'highway': 'footway', 'layer': '1', 'lit': 'no', 'surface': 'metal', 'wheelchair': 'no'}, {'bicycle': 'no', 'highway': 'path', 'surface': 'dirt'}]"
1.34928,103.83272,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34932,103.83264,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34934,103.83252,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34947,103.83216,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34955,103.83202,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34963,103.83192,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.34977,103.8318,[146881458],"[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}]"
1.35036,103.8314,"[146881458, 842398481]","[{'bicycle': 'no', 'highway': 'path', 'lit': 'no', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'trail_visibility': 'excellent', 'width': '1'}, {'bicycle': 'no', 'bridge': 'boardwalk', 'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'layer': '1', 'lit': 'no', 'name': 'Petai Trail', 'ramp': 'no', 'step_count': '26', 'surface': 'metal', 'tactile_paving': 'no', 'wheelchair': 'no'}]"
