lat,lon,ways,tags
1.34258,103.83561,"[149899203, 159236147]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34276,103.83592,"[149899203, 318742765, 842398483]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'concrete'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.3428,103.83601,"[149899203, 505491358, 842398483]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34304,103.83638,"[149899203, 505491358]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34316,103.83653,"[149899203, 963331383]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'path', 'surface': 'dirt'}]"
1.34326,103.83667,"[149899203, 963331383]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'path', 'surface': 'dirt'}]"
1.34328,103.83679,"[149899203, 464768852]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34332,103.83687,"[149899203, 464768852]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.3433,103.83704,"[149899203, 464768852]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34326,103.83729,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.3432,103.8374,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.3431,103.83746,"[23064402, 464768851, 464768852, 635133386]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34326,103.83766,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34334,103.83773,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34346,103.83778,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34361,103.83781,"[23064406, 635133386, 646862044]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'left', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34376,103.83781,"[23064406, 635133386, 646862044]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'left', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34494,103.83772,"[23064403, 23064404, 644885845, 646863361, 866525605]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}]"
1.34497,103.83784,"[23064404, 74703857, 464768853, 632387105, 634510248, 866525605]","[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}, {'landuse': 'residential', 'residential': 'landed'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;right', 'turn:lanes:forward': 'through'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left', 'turn:lanes:forward': 'through;right'}, {'landuse': 'grass'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}]"
1.34497,103.83789,"[23064404, 74703857, 464768853, 632387105, 634510248, 866520179]","[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}, {'landuse': 'residential', 'residential': 'landed'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;right', 'turn:lanes:forward': 'through'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left', 'turn:lanes:forward': 'through;right'}, {'landuse': 'grass'}, {'highway': 'footway', 'surface': 'concrete'}]"
