lat,lon,ways,tags
1.34258,103.83561,"[149899203, 159236147]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34276,103.83592,"[149899203, 318742765, 842398483]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'concrete'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.3428,103.83601,"[149899203, 505491358, 842398483]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}, {'bicycle': 'no', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'surface': 'paving_stones'}]"
1.34304,103.83638,"[149899203, 505491358]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34306,103.83641,"[149899203, 505491358]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34306,103.83641,"[149899203, 505491358]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'footway'}]"
1.34316,103.83652,"[149899203, 963331383]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'path', 'surface': 'dirt'}]"
1.34325,103.83666,"[149899203, 963331383]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'path', 'surface': 'dirt'}]"
1.34328,103.83673,"[149899203, 963331383]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'path', 'surface': 'dirt'}]"
1.34332,103.83687,"[149899203, 464768852]","[{'bicycle': 'no', 'foot': 'yes', 'highway': 'footway', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'surface': 'dirt', 'width': '1'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34324,103.83734,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34324,103.83735,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34324,103.83735,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34319,103.83742,[464768852],"[{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34317,103.83743,"[23064402, 464768851, 464768852, 635133386]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34324,103.83752,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34334,103.83764,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34342,103.83769,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34356,103.83773,[635133386],"[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.34385,103.83774,"[23064406, 635133386, 646862044]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'left', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}]"
1.3448,103.83766,"[23064403, 23064405, 644885845, 646862044, 646863361, 866525605]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'left', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}]"
1.3448,103.83766,"[23064403, 23064405, 644885845, 646862044, 646863361, 866525605]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'left', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}]"
1.345,103.83764,"[23064403, 644885845, 646863361, 866525605]","[{'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt'}, {'highway': 'residential', 'maxspeed': '50', 'name': 'Westlake Avenue', 'sidewalk': 'both', 'surface': 'asphalt'}, {'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through'}]"
1.34502,103.83776,[866520178],[{'highway': 'footway'}]
1.34504,103.83788,"[464768853, 866520178]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '50', 'name': 'Westlake Avenue', 'surface': 'asphalt', 'turn:lanes:backward': 'left;right', 'turn:lanes:forward': 'through'}, {'highway': 'footway'}]"
