lat,lon,ways,tags
1.34184,103.83451,"[37552605, 44348660, 146881459, 464768850]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'foot': 'yes', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '1'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'paved'}, {'access': 'no', 'fixme': 'resurvey', 'highway': 'service', 'name': 'Reservoir Road', 'oneway': 'yes'}]"
1.342,103.83476,[44348660],"[{'foot': 'yes', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '1'}]"
1.34182,103.83473,[253720979],"[{'highway': 'service', 'oneway': 'yes'}]"
1.34182,103.83474,[253720979],"[{'highway': 'service', 'oneway': 'yes'}]"
1.34182,103.83476,[253720979],"[{'highway': 'service', 'oneway': 'yes'}]"
1.3418,103.83479,[253720979],"[{'highway': 'service', 'oneway': 'yes'}]"
1.34176,103.83483,"[149899181, 253720979]","[{'highway': 'service', 'oneway': 'yes'}, {'highway': 'service', 'oneway': 'yes'}]"
1.34174,103.83483,"[149899181, 253720979]","[{'highway': 'service', 'oneway': 'yes'}, {'highway': 'service', 'oneway': 'yes'}]"
1.34166,103.83506,"[149899181, 505495154]","[{'highway': 'service', 'oneway': 'yes'}, {'highway': 'service'}]"
1.34159,103.83516,"[97151257, 149899181, 149899222, 312189473]","[{'highway': 'footway', 'surface': 'concrete'}, {'highway': 'service', 'oneway': 'yes'}, {'highway': 'trunk_link', 'lanes': '4', 'maxspeed': '50', 'name': 'Lornie Road', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes': 'through|through|right|right'}, {'highway': 'trunk_link', 'lanes': '4', 'maxspeed': '50', 'name': 'Lornie Road', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'turn:lanes': 'through|through|right|right'}]"
1.34149,103.83525,"[97151257, 149899181, 149899222, 312189473]","[{'highway': 'footway', 'surface': 'concrete'}, {'highway': 'service', 'oneway': 'yes'}, {'highway': 'trunk_link', 'lanes': '4', 'maxspeed': '50', 'name': 'Lornie Road', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes': 'through|through|right|right'}, {'highway': 'trunk_link', 'lanes': '4', 'maxspeed': '50', 'name': 'Lornie Road', 'oneway': 'yes', 'source': 'GPS & Yahoo aerial images', 'turn:lanes': 'through|through|right|right'}]"
