lat,lon,ways,tags
1.34186,103.83466,"[253720979, 464768850]","[{'highway': 'service', 'oneway': 'yes'}, {'access': 'no', 'fixme': 'resurvey', 'highway': 'service', 'name': 'Reservoir Road', 'oneway': 'yes'}]"
1.34183,103.8346,"[253720979, 464768850]","[{'highway': 'service', 'oneway': 'yes'}, {'access': 'no', 'fixme': 'resurvey', 'highway': 'service', 'name': 'Reservoir Road', 'oneway': 'yes'}]"
1.34182,103.8345,"[37552605, 44348660, 146881459, 464768850]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'foot': 'yes', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '1'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'paved'}, {'access': 'no', 'fixme': 'resurvey', 'highway': 'service', 'name': 'Reservoir Road', 'oneway': 'yes'}]"
1.34165,103.8342,"[37552605, 44348660, 146881459, 149899219, 464768850]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'foot': 'yes', 'highway': 'footway', 'lit': 'yes', 'name': 'MacRitchie Nature Trail', 'name:zh': '麦里芝自然小径', 'sac_scale': 'hiking', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '1'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'paved'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'paving_stones'}, {'access': 'no', 'fixme': 'resurvey', 'highway': 'service', 'name': 'Reservoir Road', 'oneway': 'yes'}]"
1.34159,103.83416,"[37552605, 149899219, 490468460]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'highway': 'footway', 'lit': 'yes', 'surface': 'paving_stones'}, {'highway': 'footway', 'surface': 'asphalt'}]"
1.34145,103.83397,"[37552605, 531352850, 531352859]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'handrail': 'no', 'highway': 'steps', 'incline': 'up', 'ramp': 'yes', 'ramp:wheelchair': 'yes'}, {'highway': 'footway', 'surface': 'paving_stones'}]"
1.34131,103.83376,"[37552605, 531352859, 783548468]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'highway': 'footway', 'surface': 'paving_stones'}, {'highway': 'footway'}]"
1.34099,103.83324,"[37552605, 1138039118]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'highway': 'steps'}]"
1.34096,103.83316,"[37552605, 1138039118]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'highway': 'steps'}]"
1.34095,103.83299,[37552605],"[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}]"
1.34097,103.83218,"[37552605, 647086883]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'access': 'no', 'fixme': 'continue', 'highway': 'service'}]"
1.34104,103.83218,"[37552605, 647086883]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'access': 'no', 'fixme': 'continue', 'highway': 'service'}]"
1.34102,103.83191,"[37552605, 647086883]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'access': 'no', 'fixme': 'continue', 'highway': 'service'}]"
1.34098,103.83126,"[37552605, 149899225]","[{'fixme': 'resurvey', 'foot': 'yes', 'highway': 'service', 'lit': 'yes', 'name': 'Reservoir Road', 'smoothness': 'good', 'surface': 'paving_stones', 'vehicle': 'no'}, {'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}]"
1.34113,103.8313,[149899225],"[{'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}]"
1.34129,103.83129,"[149899201, 149899225, 488811880, 488811885]","[{'highway': 'steps', 'surface': 'paved'}, {'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}, {'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}]"
1.34158,103.83136,"[149899201, 149899225, 327072685, 488811880, 488811885]","[{'highway': 'steps', 'surface': 'paved'}, {'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}, {'highway': 'footway', 'surface': 'wood', 'width': '2'}, {'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}]"
1.34183,103.83127,"[488811880, 488811882]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'step_count': '26', 'surface': 'concrete'}]"
1.34183,103.83122,"[488811880, 488811882]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'step_count': '26', 'surface': 'concrete'}]"
1.34182,103.8312,"[488811880, 488811882, 488811884]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'step_count': '26', 'surface': 'concrete'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.3418,103.83117,"[488811880, 488811882, 488811884]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'step_count': '26', 'surface': 'concrete'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.3418,103.83114,"[488811882, 488811884]","[{'handrail': 'yes', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'step_count': '26', 'surface': 'concrete'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34188,103.83102,[488811884],"[{'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34195,103.83099,"[488811883, 488811884]","[{'highway': 'steps', 'lit': 'no'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34205,103.83099,"[488811883, 488811884, 488811885, 531316605]","[{'highway': 'steps', 'lit': 'no'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34211,103.83087,"[488811883, 488811884, 488811885, 531316605]","[{'highway': 'steps', 'lit': 'no'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34212,103.83085,"[488811883, 488811885, 531316605]","[{'highway': 'steps', 'lit': 'no'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34215,103.83085,"[488811883, 488811885, 531316605]","[{'highway': 'steps', 'lit': 'no'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34217,103.83085,"[488811885, 531316605]","[{'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34219,103.83083,"[488811885, 531316605]","[{'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34221,103.83078,"[488811880, 488811885, 531316605]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.3422,103.83072,"[488811880, 488811885, 531316605]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34222,103.83071,"[488811880, 488811885, 531316605]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'historic': 'memorial', 'material': 'stone', 'memorial': 'stele', 'name': 'Lim Bo Seng memorial', 'name:zh': '林謀盛纪念区'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}]"
1.34234,103.83071,"[488811880, 531316604]","[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}, {'highway': 'footway', 'lit': 'no', 'smoothness': 'intermediate', 'surface': 'paving_stones'}]"
1.34239,103.83069,[488811880],"[{'highway': 'footway', 'lit': 'no', 'surface': 'asphalt'}]"
1.34248,103.83059,[149899246],"[{'handrail': 'no', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'surface': 'paving_stones'}]"
1.34261,103.83057,[149899246],"[{'handrail': 'no', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'surface': 'paving_stones'}]"
1.34266,103.83056,"[149899180, 149899193, 149899225, 149899246]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}, {'fixme': 'continue', 'highway': 'footway', 'lit': 'no', 'surface': 'gravel'}, {'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}, {'handrail': 'no', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'surface': 'paving_stones'}]"
1.34278,103.83055,"[149899180, 149899193, 149899215, 149899225, 149899246]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}, {'fixme': 'continue', 'highway': 'footway', 'lit': 'no', 'surface': 'gravel'}, {'highway': 'footway', 'lit': 'no', 'surface': 'concrete'}, {'highway': 'footway', 'smoothness': 'good', 'surface': 'paving_stones', 'width': '2'}, {'handrail': 'no', 'highway': 'steps', 'incline': 'up', 'lit': 'no', 'ramp': 'no', 'surface': 'paving_stones'}]"
1.34277,103.83038,"[37552606, 149899180]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.34277,103.83013,"[37552606, 149899180]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.34279,103.82994,"[37552606, 149899180]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.34282,103.82967,"[37552606, 149899180, 149899193, 1138039120]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}, {'fixme': 'continue', 'highway': 'footway', 'lit': 'no', 'surface': 'gravel'}]"
1.34278,103.82957,"[37552606, 149899180, 1138039120]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.34274,103.82955,"[37552606, 149899180, 1138039120]","[{'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.3427,103.82952,"[37552606, 97169132, 97169133, 149899180, 1138039120]","[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}, {'access': 'no', 'highway': 'footway', 'surface': 'ground', 'width': '1'}, {'highway': 'footway', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'gravel', 'width': '2'}]"
1.34232,103.82958,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34221,103.8296,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34148,103.82974,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34136,103.82973,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34133,103.82971,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34136,103.82969,[97169132],"[{'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34142,103.82962,"[51815881, 97169132]","[{'bridge': 'boardwalk', 'foot': 'yes', 'highway': 'footway', 'lit': 'no', 'name': 'Chemperai Trail', 'name:zh': 'Chemperai 小径', 'surface': 'wood', 'width': '2'}, {'bicycle': 'yes', 'foot': 'yes', 'highway': 'path', 'lit': 'no', 'name': 'Lornie Trail', 'name:zh': '罗尼小径', 'surface': 'ground', 'width': '2'}]"
1.34145,103.82958,[51815881],"[{'bridge': 'boardwalk', 'foot': 'yes', 'highway': 'footway', 'lit': 'no', 'name': 'Chemperai Trail', 'name:zh': 'Chemperai 小径', 'surface': 'wood', 'width': '2'}]"
1.34153,103.8295,[51815881],"[{'bridge': 'boardwalk', 'foot': 'yes', 'highway': 'footway', 'lit': 'no', 'name': 'Chemperai Trail', 'name:zh': 'Chemperai 小径', 'surface': 'wood', 'width': '2'}]"
1.34173,103.82937,[51815881],"[{'bridge': 'boardwalk', 'foot': 'yes', 'highway': 'footway', 'lit': 'no', 'name': 'Chemperai Trail', 'name:zh': 'Chemperai 小径', 'surface': 'wood', 'width': '2'}]"
1.34197,103.82918,[51815881],"[{'bridge': 'boardwalk', 'foot': 'yes', 'highway': 'footway', 'lit': 'no', 'name': 'Chemperai Trail', 'name:zh': 'Chemperai 小径', 'surface': 'wood', 'width': '2'}]"
