Tag,Count,Key,Value,Weight
"('highway', 'footway')",34928,highway,footway,30.63752149047402
"('foot', 'yes')",12748,foot,yes,11.182063787235535
"('highway', 'residential')",12571,highway,residential,11.026806076979755
"('highway', 'service')",8605,highway,service,7.547980772604471
"('highway', 'primary')",6588,highway,primary,5.778744605452441
"('highway', 'cycleway')",6245,highway,cycleway,5.477877969194064
"('highway', 'steps')",5922,highway,steps,5.194554577032385
"('highway', 'path')",4160,highway,path,3.648994772113259
"('footway', 'crossing')",3919,footway,crossing,3.437598680748044
"('highway', 'secondary')",3650,highway,secondary,3.201642047647451
"('foot', 'designated')",3382,foot,designated,2.9665625767516928
"('highway', 'tertiary')",2422,highway,tertiary,2.1244868601101716
"('footway', 'sidewalk')",1834,footway,sidewalk,1.6087154836672397
"('highway', 'unclassified')",1791,highway,unclassified,1.5709975088593384
"('highway', 'primary_link')",1171,highway,primary_link,1.027156941861689
"('foot', 'no')",769,foot,no,0.674537735518052
"('highway', 'track')",727,highway,track,0.6376969229149854
"('highway', 'trunk')",389,highway,trunk,0.34121609768078315
"('highway', 'living_street')",356,highway,living_street,0.31226974492123083
"('highway', 'pedestrian')",332,highway,pedestrian,0.2912178520051928
"('highway', 'construction')",276,highway,construction,0.24209676853443737
"('highway', 'secondary_link')",261,highway,secondary_link,0.22893933546191364
"('highway', 'motorway_link')",257,highway,motorway_link,0.22543068664257396
"('highway', 'trunk_link')",183,highway,trunk_link,0.16052068348479
"('footway', 'yes')",146,footway,yes,0.12806568190589804
"('foot', 'permissive')",118,foot,permissive,0.10350514017052033
"('highway', 'tertiary_link')",102,highway,tertiary_link,0.08947054489316164
"('foot', 'use_sidepath')",50,foot,use_sidepath,0.0438581102417459
"('highway', 'road')",42,highway,road,0.036840812603066556
"('highway', 'corridor')",26,highway,corridor,0.02280621732570787
"('highway', 'proposed')",21,highway,proposed,0.018420406301533278
"('foot', 'private')",10,foot,private,0.008771622048349182
"('highway', 'raceway')",2,highway,raceway,0.001754324409669836
"('highway', 'bridleway')",1,highway,bridleway,0.000877162204834918
