Tag,Count
"('highway', 'footway')",847
"('surface', 'asphalt')",809
"('highway', 'residential')",702
"('footway', 'sidewalk')",606
"('highway', 'service')",508
"('lanes', '2')",263
"('oneway', 'yes')",253
"('footway', 'crossing')",221
"('motorcycle', 'yes')",220
"('service', 'alley')",188
"('surface', 'concrete')",169
"('oneway', 'no')",164
"('name', 'Phố Minh Khai')",150
"('highway', 'primary')",150
"('motorcar', 'no')",143
"('motor_vehicle', 'no')",131
"('moped', 'yes')",107
"('crossing', 'traffic_signals')",107
"('highway', 'tertiary')",80
"('highway', 'secondary')",80
"('name', 'Phố Chùa Quỳnh')",67
"('maxweight', '30')",67
"('alt_name', 'Tân Lập cũ')",65
"('name', 'Phố Hồng Mai')",63
"('layer', '1')",59
"('surface', 'paving_stones')",42
"('bridge', 'yes')",42
"('name', 'Phố Tạ Quang Bửu')",36
"('crossing', 'uncontrolled')",36
"('crossing:markings', 'zebra')",36
"('crossing', 'marked')",35
"('addr:district', 'Hai Bà Trưng')",33
"('addr:province', 'Hà Nội')",33
"('addr:city', 'Hà Nội')",33
"('name', 'Bộ Giáo dục và Đào tạo')",32
"('wikidata', 'Q6866873')",32
"('addr:housenumber', '35')",32
"('office', 'government')",32
"('addr:postcode', '10053')",32
"('name:en', 'Ministry of Education and Training')",32
"('wikipedia', 'vi:Bộ Giáo dục và Đào tạo (Việt Nam)')",32
"('addr:street', 'Đường Đại Cồ Việt')",32
"('addr:subdistrict', 'Phường Bách Khoa')",32
"('government', 'ministry')",32
"('landuse', 'commercial')",32
"('horse', 'no')",31
"('bicycle', 'no')",31
"('maxspeed', '50')",31
"('highway', 'steps')",31
"('name', 'Phố Võ Thị Sáu')",31
"('crossing', 'unmarked')",29
"('name', 'Đường Số 4')",26
"('hgv', 'no')",26
"('tactile_paving', 'yes')",25
"('warning_traffic_jam:content', '123')",25
"('highway', 'primary_link')",25
"('name', 'Phố Thanh Nhàn')",24
"('lanes', '1')",24
"('name', 'Ngõ 4 Quỳnh Lôi')",24
"('name', 'Phố Lê Thanh Nghị')",21
"('motorcar', 'destination')",20
"('bicycle', 'yes')",20
"('name', 'Phố Quỳnh Lôi')",18
"('name', 'Ngõ E8 Kim Ngưu')",17
"('oneway:motorcycle', 'no')",16
"('name', 'Ngõ Hòa Bình 7')",16
"('foot', 'yes')",15
"('name', 'Ngõ 31 Đại Cồ Việt')",15
"('name', 'Phố Bạch Mai')",14
"('name', 'Đường Tam Trinh')",14
"('name', 'Đường Số 1 Times City')",14
"('name', 'Ngõ 257')",13
"('name', 'Ngõ 187')",13
"('name', 'Ngõ 189 Phố Thanh Nhàn')",13
"('name', 'Ngõ 364 Minh Khai')",12
"('name', 'Đường Số 7 Times City')",12
"('name', 'Ngõ Hòa Bình 3')",12
"('oneway:moped', 'no')",11
"('name', 'Ngõ 27 Đại Cồ Việt')",11
"('oneway:bicycle', 'no')",11
"('name', 'Ngách 10 Ngõ 156 Phố Hồng Mai')",11
"('name', 'Ngõ 158 Phố Hồng Mai')",11
"('alt_name', 'Ngõ 156 Phố Hồng Mai')",11
"('oneway:mofa', 'no')",11
"('name', 'Ngõ 172')",10
"('name', 'Ngõ 42 Phố Võ Thị Sáu')",10
"('name', 'Ngõ Hòa Bình 2')",10
"('access', 'no')",9
"('highway', 'secondary_link')",9
"('crossing', 'zebra')",9
"('name', 'Ngõ 260 Kim Ngưu')",9
"('name', 'Ngõ Hòa Bình 4')",9
"('lanes', '4')",9
"('name', 'Ngõ Quỳnh')",9
"('name', 'Ngõ 88 Chùa Quỳnh')",9
"('name', 'Ngõ 302 Phố Minh Khai')",8
"('name', 'Phố 8 Tháng 3')",8
"('name', 'Ngõ 10 Phố 8 Tháng 3')",8
"('name', 'Đường Số 3 Times City')",8
"('name', 'Đường Số 5 Times City')",8
"('name', 'Ngõ 254D Minh Khai')",8
"('name', 'Ngõ 308 Phố Minh Khai')",7
"('name', 'Phố Kim Ngưu')",7
"('name', 'Ngách 17 Ngõ 295 Phố Bạch Mai')",7
"('name', 'Ngõ 327 Thanh Nhàn')",7
"('name', 'Ngõ Hòa Bình 1')",7
"('traffic_calming', 'island')",7
"('name', 'Ngõ 8 Quỳnh Lôi')",7
"('name', 'Ngõ 254 Minh Khai')",6
"('name:en', 'Mai Dong Bridge')",6
"('destination', 'Cầu Vĩnh Tuy;Câu C. Đường')",6
"('access', 'yes')",6
"('name', 'Ngõ Hòa Bình 5')",6
"('name', 'Ngõ E4 Kim Ngưu')",6
"('name', 'Ngõ 459 Phố Bạch Mai')",6
"('name', 'Phố Bùi Ngọc Dương')",6
"('name', 'Ngõ 40 Tạ Quang Bửu')",6
"('destination:street', 'Phố Minh Khai')",6
"('name', 'Ngõ 13')",6
"('name', 'Cầu Mai Động')",6
"('name', 'Ngõ 9 Minh Khai')",6
"('name', 'Ngõ 285')",5
"('name', 'Ngõ 260 Phố Kim Ngưu')",5
"('name', 'Ngõ 17 Tạ Quang Bửu')",5
"('name', 'Ngõ 254 Kim Ngưu')",5
"('name', 'Ngõ 22 phố Tạ Quang Bửu')",5
