Tag,Count,Key,Value,Weight
"('highway', 'service')",12556,highway,service,100.0
"('highway', 'residential')",7917,highway,residential,63.39966528530443
"('highway', 'footway')",6913,highway,footway,55.478402932738284
"('surface', 'asphalt')",5835,surface,asphalt,100.0
"('footway', 'sidewalk')",4337,footway,sidewalk,100.0
"('footway', 'crossing')",2241,footway,crossing,1.0
"('oneway', 'yes')",2158,oneway,yes,100.0
"('highway', 'tertiary')",825,highway,tertiary,7.44588779088301
"('highway', 'primary')",782,highway,primary,7.106630538731272
"('crossing', 'uncontrolled')",671,crossing,uncontrolled,100.0
"('crossing', 'traffic_signals')",628,crossing,traffic_signals,92.8212478920742
"('crossing', 'marked')",621,crossing,marked,91.65261382799325
"('surface', 'concrete')",491,surface,concrete,9.159340659340659
"('lit', 'yes')",467,lit,yes,
"('highway', 'secondary')",353,highway,secondary,3.7219477207523113
"('surface', 'paving_stones')",257,surface,paving_stones,5.181662087912088
"('oneway', 'no')",253,oneway,no,1.0
"('surface', 'concrete:plates')",209,surface,concrete:plates,4.365728021978022
"('crossing', 'unmarked')",208,crossing,unmarked,22.70320404721754
"('highway', 'primary_link')",196,highway,primary_link,2.4832642652215493
"('highway', 'steps')",176,highway,steps,2.3254701944532994
"('crossing', 'zebra')",78,crossing,zebra,1.0
"('highway', 'pedestrian')",75,highway,pedestrian,1.5286101370736374
"('highway', 'path')",65,highway,path,1.4497131016895124
"('highway', 'secondary_link')",55,highway,secondary_link,1.3708160663053874
"('highway', 'tertiary_link')",26,highway,tertiary_link,1.142014663691425
"('highway', 'trunk_link')",26,highway,trunk_link,1.142014663691425
"('surface', 'unpaved')",21,surface,unpaved,1.1699862637362637
"('surface', 'metal')",11,surface,metal,1.0
"('highway', 'track')",8,highway,track,1.0
